Uhrzeit;Relativer Bedarf
00:00;0,049784633
00:15;0,046508028
00:30;0,050439954
00:45;0,051750596
01:00;0,055682521
01:15;0,055682521
01:30;0,060925089
01:45;0,063546373
02:00;0,073376187
02:15;0,077963433
02:30;0,08255068
02:45;0,087793248
03:00;0,088448568
03:15;0,088448568
03:30;0,088448568
03:45;0,087793248
04:00;0,083206001
04:15;0,078618754
04:30;0,073376187
04:45;0,065512335
05:00;0,066167656
05:15;0,063546373
05:30;0,060925089
05:45;0,057648484
06:00;0,058303805
06:15;0,058303805
06:30;0,058303805
06:45;0,058303805
07:00;0,058303805
07:15;0,058303805
07:30;0,058303805
07:45;0,058303805
08:00;0,058303805
08:15;0,058303805
08:30;0,058303805
08:45;0,058303805
09:00;0,058303805
09:15;0,058303805
09:30;0,055682521
09:45;0,052405917
10:00;0,050439954
10:15;0,04781867
10:30;0,04781867
10:45;0,04781867
11:00;0,04781867
11:15;0,044542065
11:30;0,047163349
11:45;0,046508028
12:00;0,043886744
12:15;0,049765645
12:30;0,049765645
12:45;0,049765645
13:00;0,049765645
13:15;0,049765645
13:30;0,049765645
13:45;0,049765645
14:00;0,049765645
14:15;0,049765645
14:30;0,049765645
14:45;0,049765645
15:00;0,049765645
15:15;0,049765645
15:30;0,049765645
15:45;0,047485882
16:00;0,068003748
16:15;0,070283511
16:30;0,058884696
16:45;0,058884696
17:00;0,049765645
17:15;0,049765645
17:30;0,049765645
17:45;0,049765645
18:00;0,047485882
18:15;0,049765645
18:30;0,049765645
18:45;0,049765645
19:00;0,049765645
19:15;0,049765645
19:30;0,049765645
19:45;0,049765645
20:00;0,049765645
20:15;0,049765645
20:30;0,049765645
20:45;0,049765645
21:00;0,049765645
21:15;0,049765645
21:30;0,049765645
21:45;0,049765645
22:00;0,049765645
22:15;0,047485882
22:30;0,049765645
22:45;0,049765645
23:00;0,049765645
23:15;0,049765645
23:30;0,049765645
23:45;0,061164459
