Uhrzeit,Relative Bedarf,Normierter Bedarf (Prozent),Strombedarf (kWh),
00:00:00,0.455932291888508,0.016205063848757716,217796.05812730372,
00:15:00,0.441027322005281,0.015675301002566137,210676.0454744889,
00:30:00,0.41874705113562,0.014883400059303354,200032.8967970371,
00:45:00,0.399087988603567,0.014184663932895043,190641.8832581094,
01:00:00,0.379628832352016,0.013493033015082255,181346.36372270552,
01:15:00,0.349940332273433,0.012437823616874214,167164.34941078944,
01:30:00,0.320451738475353,0.011389719427261729,153077.82910239763,
01:45:00,0.290963144677273,0.010341615237649246,138991.30879400586,
02:00:00,0.25688743628838,0.009130472618541465,122713.5519931973,
02:15:00,0.224777634152693,0.007989203612074542,107374.89654628186,
02:30:00,0.187425415341792,0.006661604971898741,89531.97082231908,
02:45:00,0.155315613206104,0.005520335965431783,74193.31537540317,
03:00:00,0.122377168771843,0.004349614775833561,58458.82258720306,
03:15:00,0.104857352707167,0.003726913240983751,50089.71395882161,
03:30:00,0.0943725193567392,0.0033542539735660014,45081.173404727066,
03:45:00,0.0831353895816473,0.002954856061371903,39713.265464838376,
04:00:00,0.0700547965182485,0.002489936489884675,33464.746424050034,
04:15:00,0.0656945988304491,0.0023349632993889397,31381.906743787353,
04:30:00,0.0613344011426495,0.0021799901088931967,29299.067063524562,
04:45:00,0.0591543022987497,0.0021025035136453254,28257.64722339317,
05:00:00,0.0591543022987497,0.0021025035136453254,28257.64722339317,
05:15:00,0.0569742034548501,0.002025016918397461,27216.22738326188,
05:30:00,0.0547941046109501,0.0019475303231495827,26174.80754313039,
05:45:00,0.0526140057670503,0.0018700437279017114,25133.387702999004,
06:00:00,0.0526140057670503,0.0018700437279017114,25133.387702999004,
06:15:00,0.0504339069231507,0.0017925571326538473,24091.967862867707,
06:30:00,0.0504339069231507,0.0017925571326538473,24091.967862867707,
06:45:00,0.0504339069231507,0.0017925571326538473,24091.967862867707,
07:00:00,0.0504339069231507,0.0017925571326538473,24091.967862867707,
07:15:00,0.0504339069231507,0.0017925571326538473,24091.967862867707,
07:30:00,0.0482538080792509,0.001715070537405976,23050.54802273632,
07:45:00,0.0504339069231507,0.0017925571326538473,24091.967862867707,
08:00:00,0.0504339069231507,0.0017925571326538473,24091.967862867707,
08:15:00,0.0547941046109501,0.0019475303231495827,26174.80754313039,
08:30:00,0.0613344011426495,0.0021799901088931967,29299.067063524562,
08:45:00,0.0656945988304491,0.0023349632993889397,31381.906743787353,
09:00:00,0.0678746976743489,0.0024124498946368105,32423.326583918733,
09:15:00,0.0744149942060481,0.0026449096803804173,35547.58610431281,
09:30:00,0.0787751918938477,0.00279988287087616,37630.42578457559,
09:45:00,0.0832323839219091,0.002958303501934623,39759.599066001334,
10:00:00,0.0865088943439178,0.00307475952300267,41324.76798915589,
10:15:00,0.100270238116355,0.0035638748114884917,47898.47746640533,
10:30:00,0.107478561044774,0.00382007805783819,51341.84909734528,
10:45:00,0.125171717323623,0.004448940571605716,59793.76128238082,
11:00:00,0.132380040252042,0.0047051438179554145,63237.13291332077,
11:15:00,0.153349706952899,0.005450462352790963,73254.21402151055,
11:30:00,0.169732259062943,0.006032742458131216,81080.05863728355,
11:45:00,0.189391321594997,0.006731478584539562,90471.07217621172,
12:00:00,0.209581122527834,0.007449078585748378,100115.61619245821,
12:15:00,0.227021913279032,0.008068971347731334,108446.97491350916,
12:30:00,0.243781394600345,0.00866464853426927,116452.876300579,
12:45:00,0.262129852963595,0.009316802252250378,125217.82227024509,
13:00:00,0.294894957183684,0.010481362462930922,140869.5115017916,
13:15:00,0.312588113462532,0.011110224976698412,149321.42368682666,
13:30:00,0.34862972810463,0.01239124120844701,166538.28184152782,
13:45:00,0.377448733508116,0.013415546419834376,180304.94388257404,
14:00:00,0.407970117322713,0.014500358753304568,194884.8216444134,
14:15:00,0.405790018478814,0.014422872158056725,193843.40180428242,
14:30:00,0.399249721947114,0.01419041237231309,190719.14228388795,
14:45:00,0.394889524259315,0.014035439181817369,188636.30260362546,
15:00:00,0.388349227727615,0.013802979396073733,185512.04308323096,
15:15:00,0.403675103194379,0.014347702362390302,192833.1197505257,
15:30:00,0.411538728207201,0.014627196812953654,196589.52516609713,
15:45:00,0.425300071979638,0.015116312101439468,203163.23464334646,
16:00:00,0.43709550949887,0.015535553777284463,208797.8427667032,
16:15:00,0.447580342849299,0.015908213044702253,213806.3833207983,
16:30:00,0.457409874115325,0.016257581107906392,218501.89009026194,
16:45:00,0.467894707465754,0.016630240375324182,223510.43064435702,
17:00:00,0.47772423873178,0.01697960843852832,228205.93741382065,
17:15:00,0.505246926276655,0.017957839015499986,241353.35636831983,
17:30:00,0.538012030496744,0.019122399226180524,257005.04559986625,
17:45:00,0.566845322210423,0.02014721221157943,270778.53212362755,
18:00:00,0.599818815585894,0.021319179135117192,286529.76757597504,
18:15:00,0.604197541021324,0.021474810851755226,288621.45784759027,
18:30:00,0.61730358270936,0.02194063493602746,294882.1335402091,
18:45:00,0.627788416059788,0.022313294203445213,299890.6740943037,
19:00:00,0.636962645241413,0.02263937106243577,304273.14707913675,
19:15:00,0.627788416059788,0.022313294203445213,299890.6740943037,
19:30:00,0.615337676456154,0.021870761323386605,293943.032186316,
19:45:00,0.604197541021324,0.021474810851755226,288621.45784759027,
20:00:00,0.589125593080083,0.02093911315484218,281421.6808010789,
20:15:00,0.566190020126021,0.02012392100736581,270465.4983389965,
20:30:00,0.541288540918753,0.019238855247248585,258570.21452302102,
20:45:00,0.516387061711486,0.018353789487131393,246674.93070704595,
