Uhrzeit,Relative Bedarf,Normierter Bedarf (Prozent),Anzahl Autos,Strombedarf (kWh)
00:00:00,0.378260869565217,0.01106538402960569,23237.30646217195,148718.76135790048
00:15:00,0.337108223104694,0.009861532736598053,20709.21874685591,132538.99997987782
00:30:00,0.294634445402106,0.008619033976397301,18099.971350434334,115839.81664277974
00:45:00,0.252814110433403,0.007395650581738075,15530.866221649958,99397.54381855973
01:00:00,0.212954103666359,0.006229613283703529,13082.18789577741,83726.00253297543
01:15:00,0.190737050714236,0.005579690855290828,11717.350796110739,74991.04509510873
01:30:00,0.171133768697656,0.005006229889044301,10513.082766993031,67283.7297087554
01:45:00,0.151530486681077,0.004432768922797803,9308.814737875386,59576.414322402474
02:00:00,0.130620319196726,0.003821077225468204,8024.262173483228,51355.277910292665
02:15:00,0.115591136317349,0.003381423818012563,7100.9900178263815,45446.336114088845
02:30:00,0.100561953437971,0.002941770410556892,6177.717862169474,39537.39431788464
02:45:00,0.0861862132924804,0.0025212323686428133,5294.587974149908,33885.363034559414
03:00:00,0.0711570304131028,0.0020815789611871543,4371.315818493024,27976.421238355357
03:15:00,0.0678898167436727,0.001986002133479397,4170.604480306733,26691.868673963094
03:30:00,0.0659294885420151,0.001928656036854756,4050.1776773949873,25921.13713532792
03:45:00,0.0633157176064713,0.0018521945746885584,3889.6086068459726,24893.495083814225
04:00:00,0.0607019466709273,0.001775733112522355,3729.0395362969452,23865.853032300452
04:15:00,0.0609180691544324,0.0017820554114166734,3742.316363975014,23950.824729440094
04:30:00,0.0615715118883184,0.001801170776958224,3782.4586316122704,24207.735242318533
04:45:00,0.0615715118883184,0.001801170776958224,3782.4586316122704,24207.735242318533
05:00:00,0.0620037568553291,0.0018138153747468753,3809.0122869684383,24377.678636598008
05:15:00,0.058741618469269,0.0017183870158976934,3608.612733385156,23095.121493665
05:30:00,0.0574347330014972,0.0016801562848145974,3528.3281981106547,22581.300467908193
05:45:00,0.0543478260869563,0.0015898540272421921,3338.6934572086034,21367.63812613506
06:00:00,0.0521739130434781,0.001526259866152506,3205.1457189202624,20512.93260108968
06:15:00,0.0521739130434781,0.001526259866152506,3205.1457189202624,20512.93260108968
06:30:00,0.0521739130434781,0.001526259866152506,3205.1457189202624,20512.93260108968
06:45:00,0.0521739130434781,0.001526259866152506,3205.1457189202624,20512.93260108968
07:00:00,0.0521739130434781,0.001526259866152506,3205.1457189202624,20512.93260108968
07:15:00,0.0624410771057097,0.0018266084413940992,3835.8777269276084,24549.617452336694
07:30:00,0.0724588405975046,0.002119661223411675,4451.288569164518,28488.246842652916
07:45:00,0.0818231613554136,0.002393598639887703,5026.5571437641765,32169.96572009073
08:00:00,0.0935851305653612,0.002737675219635607,5749.117961234775,36794.35495190256
08:15:00,0.10665398524308,0.00311998253046659,6551.963313979839,41932.56520947097
08:30:00,0.121904365889333,0.0035661067056751514,7488.824081917818,47928.47412427404
08:45:00,0.135410540817433,0.003961207083153375,8318.534874622088,53238.623197581364
09:00:00,0.153917984566376,0.0045026111483525404,9455.483411540336,60515.09383385815
09:15:00,0.194426358783936,0.005687615343070061,11943.992220447128,76441.55021086162
09:30:00,0.232763357599703,0.006809099611127191,14299.109183367102,91514.29877354945
09:45:00,0.272623364366748,0.007975136909161766,16747.787509239708,107185.84005913413
10:00:00,0.312699493617298,0.009147496506090655,19209.742662790377,122942.35304185841
10:15:00,0.331870530666866,0.009708312874548495,20387.457036551838,130479.72503393177
10:30:00,0.35125769019994,0.010275451541900677,21578.448237991423,138102.06872314512
10:45:00,0.372383980167797,0.01089346553812462,22876.2776300617,146408.17683239488
11:00:00,0.394163712869539,0.011530594899890086,24214.24928976918,154971.19545452276
11:15:00,0.427494367581094,0.012505627011367726,26261.816723872224,168075.62703278224
11:30:00,0.469304551983057,0.013728713468309804,28830.29828345059,184513.9090140838
11:45:00,0.506771985581432,0.014824760071931037,31131.996151055177,199244.77536675314
12:00:00,0.541188327993884,0.01583155214673889,33246.25950815167,212776.0608521707
12:15:00,0.562103570761605,0.016443392312927064,34531.123857146835,220999.19268573975
12:30:00,0.58192297526169,0.017023175578067908,35748.66871394261,228791.47976923268
12:45:00,0.601526257278269,0.017596636544314405,36952.93674306025,236498.79515558563
13:00:00,0.618520843642674,0.018093784517253273,37996.947486231875,243180.463911884
13:15:00,0.616781713207892,0.018042909188381542,37890.109295601236,242496.69949184792
13:30:00,0.614167942272348,0.017966447726215338,37729.54022505221,241469.05744033415
13:45:00,0.610900728602918,0.017870870898507585,37528.82888686593,240184.50487594196
14:00:00,0.608286957667374,0.017794409436341377,37368.25981631689,239156.8628244281
14:15:00,0.601752530328515,0.0176032557809259,36966.837139944386,236587.75769564408
14:30:00,0.593911217521883,0.017373871394427292,36485.12992829731,233504.83154110282
14:45:00,0.586507224965632,0.017157280074575915,36030.28815660942,230593.8442023003
15:00:00,0.579535477376391,0.01695333335251317,35602.00004027766,227852.800257777
15:15:00,0.580434782608695,0.01697964101094666,35657.246122987985,228206.3751871231
15:30:00,0.578228591908619,0.01691510262143007,35521.71550500314,227338.97923202012
15:45:00,0.578228591908619,0.01691510262143007,35521.71550500314,227338.97923202012
16:00:00,0.579535477376391,0.01695333335251317,35602.00004027766,227852.800257777
16:15:00,0.583456133779707,0.017068025545762474,35842.8536461012,229394.26333504767
16:30:00,0.588683675650795,0.017220948470094883,36163.99178719925,231449.5474380752
16:45:00,0.593257774787997,0.01735475602888574,36444.98766066005,233247.92102822434
17:00:00,0.601094012311258,0.017583991946525747,36926.38308770407,236328.85176130605
