Tageszeit;-17;-16;-15;-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
03:30:00;1,5473;1,5474;1,5395;1,5289;1,5156;1,4996;1,4810;1,4597;1,4359;1,4095;1,3696;1,3492;1,3153;1,2789;1,2442;1,2067;1,1664;1,1278;1,0818;1,0331;0,9511;0,8719;0,7937;0,7174;0,6430;0,5705;0,4998;0,4310;0,3640;0,2989;0,2356;0,1752;0,1151;0,0556;0,0067
03:45:00;1,5448;1,5450;1,5371;1,5265;1,5132;1,4972;1,4786;1,4574;1,4336;1,4073;1,3674;1,3470;1,3132;1,2769;1,2422;1,2048;1,1645;1,1260;1,0801;1,0315;0,9496;0,8705;0,7924;0,7162;0,6420;0,5695;0,4990;0,4303;0,3634;0,2984;0,2352;0,1749;0,1149;0,0555;0,0067
04:00:00;1,5437;1,5438;1,5360;1,5254;1,5121;1,4961;1,4776;1,4564;1,4326;1,4062;1,3665;1,3460;1,3122;1,2759;1,2413;1,2039;1,1637;1,1252;1,0793;1,0307;0,9489;0,8699;0,7919;0,7157;0,6415;0,5691;0,4986;0,4300;0,3632;0,2982;0,2350;0,1748;0,1148;0,0554;0,0067
04:15:00;1,5413;1,5414;1,5336;1,5230;1,5097;1,4938;1,4753;1,4541;1,4303;1,4041;1,3643;1,3439;1,3102;1,2740;1,2394;1,2020;1,1619;1,1234;1,0776;1,0291;0,9474;0,8685;0,7906;0,7146;0,6405;0,5682;0,4979;0,4293;0,3626;0,2977;0,2346;0,1745;0,1146;0,0553;0,0067
04:30:00;1,5432;1,5433;1,5355;1,5249;1,5116;1,4957;1,4771;1,4559;1,4321;1,4058;1,3660;1,3456;1,3118;1,2755;1,2409;1,2035;1,1633;1,1248;1,0790;1,0304;0,9486;0,8696;0,7916;0,7155;0,6413;0,5689;0,4985;0,4299;0,3631;0,2981;0,2349;0,1747;0,1148;0,0554;0,0067
04:45:00;1,5463;1,5464;1,5385;1,5279;1,5146;1,4986;1,4800;1,4588;1,4349;1,4086;1,3687;1,3483;1,3144;1,2780;1,2434;1,2059;1,1656;1,1270;1,0811;1,0324;0,9505;0,8713;0,7932;0,7169;0,6425;0,5701;0,4995;0,4307;0,3638;0,2987;0,2354;0,1751;0,1150;0,0555;0,0067
05:00:00;1,5469;1,5471;1,5392;1,5286;1,5152;1,4993;1,4806;1,4594;1,4356;1,4092;1,3693;1,3488;1,3149;1,2786;1,2439;1,2064;1,1661;1,1275;1,0815;1,0329;0,9509;0,8717;0,7935;0,7172;0,6428;0,5703;0,4997;0,4309;0,3639;0,2988;0,2355;0,1752;0,1150;0,0555;0,0067
05:15:00;1,5441;1,5442;1,5364;1,5258;1,5125;1,4965;1,4779;1,4567;1,4329;1,4066;1,3668;1,3464;1,3125;1,2763;1,2416;1,2042;1,1640;1,1255;1,0796;1,0310;0,9491;0,8701;0,7921;0,7159;0,6416;0,5693;0,4988;0,4301;0,3633;0,2983;0,2351;0,1748;0,1148;0,0554;0,0067
05:30:00;1,5488;1,5489;1,5410;1,5304;1,5170;1,5010;1,4824;1,4611;1,4372;1,4108;1,3709;1,3504;1,3165;1,2801;1,2454;1,2078;1,1675;1,1288;1,0828;1,0341;0,9520;0,8727;0,7944;0,7181;0,6436;0,5710;0,5003;0,4314;0,3644;0,2992;0,2358;0,1754;0,1152;0,0556;0,0067
05:45:00;1,5504;1,5505;1,5426;1,5320;1,5186;1,5026;1,4839;1,4627;1,4388;1,4123;1,3724;1,3519;1,3179;1,2815;1,2467;1,2091;1,1687;1,1300;1,0840;1,0352;0,9530;0,8737;0,7953;0,7188;0,6443;0,5716;0,5008;0,4319;0,3648;0,2995;0,2360;0,1756;0,1153;0,0557;0,0067
06:00:00;1,1790;1,1791;1,1731;1,1650;1,1548;1,1426;1,1284;1,1122;1,0941;1,0740;1,0436;1,0280;1,0022;0,9745;0,9480;0,9194;0,8887;0,8593;0,8243;0,7872;0,7247;0,6644;0,6048;0,5466;0,4899;0,4347;0,3808;0,3284;0,2774;0,2277;0,1795;0,1335;0,0877;0,0423;0,0051
06:15:00;1,1850;1,1851;1,1790;1,1709;1,1607;1,1485;1,1342;1,1179;1,0997;1,0795;1,0489;1,0332;1,0073;0,9794;0,9529;0,9241;0,8933;0,8637;0,8285;0,7912;0,7284;0,6678;0,6078;0,5494;0,4924;0,4369;0,3828;0,3301;0,2788;0,2289;0,1804;0,1342;0,0881;0,0426;0,0051
06:30:00;1,1843;1,1844;1,1784;1,1702;1,1600;1,1478;1,1335;1,1173;1,0990;1,0788;1,0483;1,0326;1,0067;0,9789;0,9523;0,9236;0,8928;0,8632;0,8280;0,7908;0,7280;0,6674;0,6075;0,5491;0,4921;0,4366;0,3825;0,3299;0,2786;0,2288;0,1803;0,1341;0,0881;0,0425;0,0051
