Datum,Kapazität in kWh,Restkapazität in kWh,Einspeisung in kWh
2030-10-17 04:45:00,9250000.0,9237088.120912569,-12911.879087432084
2030-10-17 05:00:00,9250000.0,9236726.703265365,-13273.296734634307
2030-10-17 05:15:00,9250000.0,9236396.419802224,-13603.580197775513
2030-10-17 05:30:00,9250000.0,9235934.281677796,-14065.71832220467
2030-10-17 05:45:00,9250000.0,9235367.580155106,-14632.419844893791
2030-10-17 06:00:00,9250000.0,9234359.151606485,-15640.848393514685
2030-10-17 06:15:00,9250000.0,9233735.34114543,-16264.658854570185
2030-10-17 06:30:00,9250000.0,9233239.226668017,-16760.773331982302
2030-10-17 06:45:00,9250000.0,9232818.39311993,-17181.606880070576
2030-10-17 07:00:00,9250000.0,9232145.951449614,-17854.04855038688
2030-10-17 07:15:00,9250000.0,9231706.454297645,-18293.54570235479
2030-10-17 07:30:00,9250000.0,9231490.259471644,-18509.740528355815
2030-10-17 07:45:00,9250000.0,9231546.173579786,-18453.82642021354
2030-10-17 08:00:00,9250000.0,9231759.666694704,-18240.333305294665
2030-10-17 08:15:00,9250000.0,9232102.750396544,-17897.249603455075
2030-10-17 08:30:00,9250000.0,9232662.198522227,-17337.80147777323
2030-10-17 08:45:00,9250000.0,9233226.665538982,-16773.33446101805
2030-10-17 09:00:00,9250000.0,9234170.826862466,-15829.173137534774
2030-10-17 09:15:00,9250000.0,9234776.824327687,-15223.175672314017
2030-10-17 09:30:00,9250000.0,9235503.867395686,-14496.132604313552
2030-10-17 09:45:00,9250000.0,9236161.483528588,-13838.51647141141
2030-10-17 10:00:00,9250000.0,9236860.725670282,-13139.274329717426
2030-10-17 10:15:00,9250000.0,9237479.948101662,-12520.051898337382
2030-10-17 10:30:00,9250000.0,9237849.73185449,-12150.268145511232
2030-10-17 10:45:00,9250000.0,9238463.444629068,-11536.555370933069
2030-10-17 11:00:00,9250000.0,9238942.478514273,-11057.521485726445
2030-10-17 11:15:00,9250000.0,9239517.069793355,-10482.930206645926
2030-10-17 11:30:00,9250000.0,9240139.023582831,-9860.976417169326
2030-10-17 11:45:00,9250000.0,9240695.524474442,-9304.475525558384
