Datum,Differenz,Speicher,Netz
2030-01-01 00:00:00,-4615.157996135413,0.0,-4615.157996135413
2030-01-01 00:15:00,-4844.6611773460045,0.0,-4844.6611773460045
2030-01-01 00:30:00,-5339.181328007351,0.0,-5339.181328007351
2030-01-01 00:45:00,-4932.891156510219,0.0,-4932.891156510219
2030-01-01 01:00:00,-5511.295955311301,0.0,-5511.295955311301
2030-01-01 01:15:00,-5746.869460519376,0.0,-5746.869460519376
2030-01-01 01:30:00,-5507.483358363212,0.0,-5507.483358363212
2030-01-01 01:45:00,-5953.581944039312,0.0,-5953.581944039312
2030-01-01 02:00:00,-5800.36389009871,0.0,-5800.36389009871
2030-01-01 02:15:00,-6255.009606319027,0.0,-6255.009606319027
2030-01-01 02:30:00,-5910.588269909213,0.0,-5910.588269909213
2030-01-01 02:45:00,-6203.231564940757,0.0,-6203.231564940757
2030-01-01 03:00:00,-5237.093823725207,0.0,-5237.093823725207
2030-01-01 03:15:00,-5010.335980437074,0.0,-5010.335980437074
2030-01-01 03:30:00,-4778.818762651845,0.0,-4778.818762651845
2030-01-01 03:45:00,-4642.044065667866,0.0,-4642.044065667866
2030-01-01 04:00:00,-4921.110092436866,0.0,-4921.110092436866
2030-01-01 04:15:00,-4791.692909041421,0.0,-4791.692909041421
2030-01-01 04:30:00,-4631.418139998435,0.0,-4631.418139998435
2030-01-01 04:45:00,-4598.85982223789,0.0,-4598.85982223789
2030-01-01 05:00:00,-5167.074417847767,0.0,-5167.074417847767
2030-01-01 05:15:00,-4872.990336715084,0.0,-4872.990336715084
2030-01-01 05:30:00,-4627.47487311264,0.0,-4627.47487311264
2030-01-01 05:45:00,-4698.153140856464,0.0,-4698.153140856464
2030-01-01 06:00:00,-5000.564030030417,0.0,-5000.564030030417
2030-01-01 06:15:00,-4805.6459061890055,0.0,-4805.6459061890055
2030-01-01 06:30:00,-4859.640101514866,0.0,-4859.640101514866
2030-01-01 06:45:00,-4750.113982321727,0.0,-4750.113982321727
2030-01-01 07:00:00,-5135.639502237691,0.0,-5135.639502237691
2030-01-01 07:15:00,-4944.016948510274,0.0,-4944.016948510274
2030-01-01 07:30:00,-4915.428741824102,0.0,-4915.428741824102
2030-01-01 07:45:00,-4639.882436510841,0.0,-4639.882436510841
2030-01-01 08:00:00,-4566.566599548218,0.0,-4566.566599548218
2030-01-01 08:15:00,-4466.974546099567,0.0,-4466.974546099567
2030-01-01 08:30:00,-4326.717032983677,0.0,-4326.717032983677
2030-01-01 08:45:00,-4385.321344630083,0.0,-4385.321344630083
2030-01-01 09:00:00,-4511.969056726726,0.0,-4511.969056726726
2030-01-01 09:15:00,-4672.022498841281,0.0,-4672.022498841281
2030-01-01 09:30:00,-4711.992619456636,0.0,-4711.992619456636
2030-01-01 09:45:00,-4888.637417144442,0.0,-4888.637417144442
2030-01-01 10:00:00,-5510.630148096485,0.0,-5510.630148096485
2030-01-01 10:15:00,-5422.2452538655325,0.0,-5422.2452538655325
2030-01-01 10:30:00,-5229.1318540429365,0.0,-5229.1318540429365
