Uhrzeit,Relative Bedarf,Normierter Bedarf (Prozent),Strombedarf (kWh),
00:00:00,0.455932291888508,0.016205063848757716,254095.401148521,
00:15:00,0.441027322005281,0.015675301002566137,245788.71972023707,
00:30:00,0.41874705113562,0.014883400059303354,233371.71292987658,
00:45:00,0.399087988603567,0.014184663932895043,222415.53046779428,
01:00:00,0.379628832352016,0.013493033015082255,211570.75767648977,
01:15:00,0.349940332273433,0.012437823616874214,195025.07431258768,
01:30:00,0.320451738475353,0.011389719427261729,178590.8006194639,
01:45:00,0.290963144677273,0.010341615237649246,162156.5269263402,
02:00:00,0.25688743628838,0.009130472618541465,143165.8106587302,
02:15:00,0.224777634152693,0.007989203612074542,125270.71263732883,
02:30:00,0.187425415341792,0.006661604971898741,104453.96595937226,
02:45:00,0.155315613206104,0.005520335965431783,86558.86793797035,
03:00:00,0.122377168771843,0.004349614775833561,68201.95968507025,
03:15:00,0.104857352707167,0.003726913240983751,58437.99961862521,
03:30:00,0.0943725193567392,0.0033542539735660014,52594.702305514904,
03:45:00,0.0831353895816473,0.002954856061371903,46332.14304231144,
04:00:00,0.0700547965182485,0.002489936489884675,39042.2041613917,
04:15:00,0.0656945988304491,0.0023349632993889397,36612.22453441857,
04:30:00,0.0613344011426495,0.0021799901088931967,34182.244907445325,
04:45:00,0.0591543022987497,0.0021025035136453254,32967.2550939587,
05:00:00,0.0591543022987497,0.0021025035136453254,32967.2550939587,
05:15:00,0.0569742034548501,0.002025016918397461,31752.26528047219,
05:30:00,0.0547941046109501,0.0019475303231495827,30537.275466985455,
05:45:00,0.0526140057670503,0.0018700437279017114,29322.285653498835,
06:00:00,0.0526140057670503,0.0018700437279017114,29322.285653498835,
06:15:00,0.0504339069231507,0.0017925571326538473,28107.295840012324,
06:30:00,0.0504339069231507,0.0017925571326538473,28107.295840012324,
06:45:00,0.0504339069231507,0.0017925571326538473,28107.295840012324,
07:00:00,0.0504339069231507,0.0017925571326538473,28107.295840012324,
07:15:00,0.0504339069231507,0.0017925571326538473,28107.295840012324,
07:30:00,0.0482538080792509,0.001715070537405976,26892.306026525705,
07:45:00,0.0504339069231507,0.0017925571326538473,28107.295840012324,
08:00:00,0.0504339069231507,0.0017925571326538473,28107.295840012324,
08:15:00,0.0547941046109501,0.0019475303231495827,30537.275466985455,
08:30:00,0.0613344011426495,0.0021799901088931967,34182.244907445325,
08:45:00,0.0656945988304491,0.0023349632993889397,36612.22453441857,
09:00:00,0.0678746976743489,0.0024124498946368105,37827.21434790519,
09:15:00,0.0744149942060481,0.0026449096803804173,41472.18378836495,
09:30:00,0.0787751918938477,0.00279988287087616,43902.16341533819,
09:45:00,0.0832323839219091,0.002958303501934623,46386.19891033489,
10:00:00,0.0865088943439178,0.00307475952300267,48212.22932068187,
10:15:00,0.100270238116355,0.0035638748114884917,55881.557044139554,
10:30:00,0.107478561044774,0.00382007805783819,59898.82394690282,
10:45:00,0.125171717323623,0.004448940571605716,69759.38816277763,
11:00:00,0.132380040252042,0.0047051438179554145,73776.65506554091,
11:15:00,0.153349706952899,0.005450462352790963,85463.2496917623,
11:30:00,0.169732259062943,0.006032742458131216,94593.40174349747,
11:45:00,0.189391321594997,0.006731478584539562,105549.58420558032,
12:00:00,0.209581122527834,0.007449078585748378,116801.55222453456,
12:15:00,0.227021913279032,0.008068971347731334,126521.47073242732,
12:30:00,0.243781394600345,0.00866464853426927,135861.68901734214,
12:45:00,0.262129852963595,0.009316802252250378,146087.45931528593,
13:00:00,0.294894957183684,0.010481362462930922,164347.7634187569,
13:15:00,0.312588113462532,0.011110224976698412,174208.3276346311,
13:30:00,0.34862972810463,0.01239124120844701,194294.66214844913,
13:45:00,0.377448733508116,0.013415546419834376,210355.76786300304,
14:00:00,0.407970117322713,0.014500358753304568,227365.62525181563,
14:15:00,0.405790018478814,0.014422872158056725,226150.63543832945,
14:30:00,0.399249721947114,0.01419041237231309,222505.66599786925,
14:45:00,0.394889524259315,0.014035439181817369,220075.68637089638,
15:00:00,0.388349227727615,0.013802979396073733,216430.71693043612,
15:15:00,0.403675103194379,0.014347702362390302,224971.97304227995,
15:30:00,0.411538728207201,0.014627196812953654,229354.44602711333,
15:45:00,0.425300071979638,0.015116312101439468,237023.77375057084,
16:00:00,0.43709550949887,0.015535553777284463,243597.48322782037,
16:15:00,0.447580342849299,0.015908213044702253,249440.78054093133,
16:30:00,0.457409874115325,0.016257581107906392,254918.87177197228,
16:45:00,0.467894707465754,0.016630240375324182,260762.1690850832,
17:00:00,0.47772423873178,0.01697960843852832,266240.2603161241,
17:15:00,0.505246926276655,0.017957839015499986,281578.9157630398,
17:30:00,0.538012030496744,0.019122399226180524,299839.21986651066,
17:45:00,0.566845322210423,0.02014721221157943,315908.28747756546,
18:00:00,0.599818815585894,0.021319179135117192,334284.7288386376,
18:15:00,0.604197541021324,0.021474810851755226,336725.034155522,
18:30:00,0.61730358270936,0.02194063493602746,344029.15579691064,
18:45:00,0.627788416059788,0.022313294203445213,349872.45311002096,
19:00:00,0.636962645241413,0.02263937106243577,354985.3382589929,
19:15:00,0.627788416059788,0.022313294203445213,349872.45311002096,
19:30:00,0.615337676456154,0.021870761323386605,342933.537550702,
19:45:00,0.604197541021324,0.021474810851755226,336725.034155522,
20:00:00,0.589125593080083,0.02093911315484218,328325.29426792543,
20:15:00,0.566190020126021,0.02012392100736581,315543.0813954959,
20:30:00,0.541288540918753,0.019238855247248585,301665.2502768578,
20:45:00,0.516387061711486,0.018353789487131393,287787.41915822023,
