Uhrzeit;Relativer Bedarf;Normierter Bedarf;Anzahl Autos;Strombedarf (kWh)
00:00;0.455932292;0.01620506385431122;30141.41876901887;192905.0801217208
00:15;0.441027322;0.015675301003917213;29156.059867286014;186598.7831506305
00:30;0.418747051;0.014883400055944091;27683.12410405601;177171.99426595846
00:45;0.399087989;0.014184663948377788;26383.474943982685;168854.2396414892
01:00;0.379628832;0.01349303300389521;25097.04138724509;160621.0648783686
01:15;0.349940332;0.012437823608376634;23134.35191158054;148059.85223411545
01:30;0.320451738;0.01138971941148448;21184.87810536113;135583.21987431124
01:45;0.290963145;0.010341615250135024;19235.404365251146;123106.58793760734
02:00;0.256887436;0.009130472609187963;16982.67905308961;108689.14593977352
02:15;0.224777634;0.007989203607431687;14859.918709822938;95103.47974286681
02:30;0.187425415;0.006661604960404473;12390.58522635232;79299.74544865485
02:45;0.155315613;0.005520335958648198;10267.824883085648;65714.07925174815
03:00;0.122377169;0.004349614784369859;8090.283498927937;51777.814393138804
03:15;0.104857353;0.0037269132517576808;6932.058648269286;44365.17534892343
03:30;0.094372519;0.0033542539612158007;6238.91236786139;39929.03915431289
03:45;0.08313539;0.002954856076531352;5496.032302348315;35174.60673502922
04:00;0.070054797;0.0024899365072518494;4631.28190348844;29640.204182326015
04:15;0.065694599;0.002334963305644449;4343.031748498675;27795.403190391524
04:30;0.061334401;0.0021799901040370486;4054.7815935089106;25950.60219845703
04:45;0.059154302;0.0021025035032333486;3910.6565160140285;25028.201702489783
05:00;0.059154302;0.0021025035032333486;3910.6565160140285;25028.201702489783
05:15;0.056974203;0.0020250169024296485;3766.5314385191464;24105.801206522538
05:30;0.054794105;0.0019475303371686466;3622.4064271336824;23183.40113365557
05:45;0.052614006;0.0018700437363649463;3478.2813496388003;22261.000637688325
06:00;0.052614006;0.0018700437363649463;3478.2813496388003;22261.000637688325
06:15;0.050433907;0.0017925571355612462;3334.156272143918;21338.60014172108
06:30;0.050433907;0.0017925571355612462;3334.156272143918;21338.60014172108
06:45;0.050433907;0.0017925571355612462;3334.156272143918;21338.60014172108
07:00;0.050433907;0.0017925571355612462;3334.156272143918;21338.60014172108
07:15;0.050433907;0.0017925571355612462;3334.156272143918;21338.60014172108
07:30;0.048253808;0.0017150705347575461;3190.031194649036;20416.199645753833
07:45;0.050433907;0.0017925571355612462;3334.156272143918;21338.60014172108
08:00;0.050433907;0.0017925571355612462;3334.156272143918;21338.60014172108
08:15;0.054794105;0.0019475303371686466;3622.4064271336824;23183.40113365557
08:30;0.061334401;0.0021799901040370486;4054.7815935089106;25950.60219845703
08:45;0.065694599;0.002334963305644449;4343.031748498675;27795.403190391524
09:00;0.067874698;0.002412449906448149;4487.156825993557;28717.803686358762
09:15;0.074414994;0.0026449096733165514;4919.531992368786;31485.00475116023
09:30;0.078775192;0.0027998828749239515;5207.78214735855;33329.80574309472
09:45;0.083232384;0.0029583035050005885;5502.444519301094;35215.644923527005
10:00;0.086508894;0.0030747595110807396;5719.052690610176;36601.93721990513
10:15;0.100270238;0.003563874807702771;6628.807142327154;42424.36571089379
10:30;0.107478561;0.0038200780566218016;7105.345185316551;45474.209186025924
10:45;0.125171717;0.004448940560540014;8275.029442604426;52960.18843266833
11:00;0.13238004;0.004705143809459045;8751.567485593823;56010.03190780047
11:15;0.153349707;0.005450462355000107;10137.8599803002;64882.30387392128
11:30;0.169732259;0.006032742456486259;11220.900969064442;71813.76620201243
11:45;0.189391322;0.006731478599595261;12520.550195247186;80131.521249582
12:00;0.209581123;0.0074490786032616755;13855.286202066716;88673.831693227
12:15;0.227021913;0.008068971338605879;15008.286689806935;96053.0348147644
12:30;0.243781395;0.00866464854932466;16116.246301743866;103143.97633116075
12:45;0.262129853;0.009316802254458903;17329.25219329356;110907.21403707878
13:00;0.294894957;0.010481362457431207;19495.334170822043;124770.13869326108
13:15;0.312588113;0.011110224961349419;20665.018428109917;132256.1179399035
13:30;0.348629728;0.012391241205944573;23047.708643056907;147505.3353155642
13:45;0.377448734;0.013415546438634207;24952.916375859626;159698.6648055016
14:00;0.407970117;0.014500358743257915;26970.667262459723;172612.27047974223
14:15;0.405790018;0.014422872142454213;26826.542184964837;171689.86998377496
14:30;0.399249722;0.01419041237558581;26394.167018589607;168922.6689189735
14:45;0.394889524;0.014035439173978412;26105.916863599847;167077.86792703904
15:00;0.388349228;0.013802979407110009;25673.541697224617;164310.66686223756
15:15;0.403675103;0.014347702356889999;26686.7263838154;170795.04885641858
15:30;0.411538728;0.014627196807025062;27206.586061066613;174122.15079082633
15:45;0.425300072;0.01511631210364709;28116.34051278359;179944.57928181498
16:00;0.437095509;0.015535553761078335;28896.1299956057;184935.2319718765
16:15;0.447580343;0.015908213051620216;29589.276276013603;189371.36816648708
16:30;0.457409874;0.016257581105403367;30239.100856050263;193530.24547872168
16:45;0.467894707;0.01663024036040255;30932.24707034874;197966.38125023196
17:00;0.477724239;0.016979608449728397;31582.07171649482;202125.25898556685
17:15;0.505246926;0.01795783900742976;33401.58055381935;213770.11554444386
17:30;0.53801203;0.019122399210402066;35567.66253134784;227633.04020062622
17:45;0.566845322;0.02014721220607819;37473.814703305434;239832.41410115478
18:00;0.599818816;0.021319179151928446;39653.67322258691;253783.50862455624
18:15;0.604197541;0.021474810853105406;39943.14818677605;255636.14839536673
18:30;0.617303583;0.021940634948511405;40809.581004231215;261181.3184270798
18:45;0.627788416;0.022313294203510588;41502.72721852969;265617.45419859
19:00;0.636962645;0.02263937105607771;42109.23016430454;269499.0730515491
