Datum,Photovoltaik,Wind Onshore,Wind Offshore
2023-01-01 00:00:00,2.425918513397135e-05,0.4684432207417605,0.323598959564909
2023-01-01 00:15:00,1.2129592566985676e-05,0.46926266450333515,0.35161976826672975
2023-01-01 00:30:00,1.2129592566985676e-05,0.47870265663667505,0.3863797588082289
2023-01-01 00:45:00,1.2129592566985676e-05,0.4657226674533327,0.38519744620477653
2023-01-01 01:00:00,1.2129592566985676e-05,0.479997377779963,0.37148262000472926
2023-01-01 01:15:00,1.2129592566985676e-05,0.48070209941491715,0.4249231496807756
2023-01-01 01:30:00,1.2129592566985676e-05,0.47591654784732124,0.44632300780326317
2023-01-01 01:45:00,1.2129592566985676e-05,0.484487929593392,0.4531804209032868
2023-01-01 02:00:00,2.425918513397135e-05,0.4739007161938476,0.4775360605344053
2023-01-01 02:15:00,1.2129592566985676e-05,0.4865365389973286,0.4573185150153701
2023-01-01 02:30:00,1.2129592566985676e-05,0.47612960322533066,0.44277606999290614
2023-01-01 02:45:00,1.2129592566985676e-05,0.4819804316829736,0.43946559470323954
2023-01-01 03:00:00,1.2129592566985676e-05,0.45398823278758377,0.4289430125325136
2023-01-01 03:15:00,1.2129592566985676e-05,0.4436468525165118,0.41912981792385906
2023-01-01 03:30:00,1.2129592566985676e-05,0.43641935853942343,0.4145187987703949
2023-01-01 03:45:00,1.2129592566985676e-05,0.4365013029155809,0.3752660203357768
2023-01-01 04:00:00,2.425918513397135e-05,0.44174574298965863,0.38850792149444313
2023-01-01 04:15:00,1.2129592566985676e-05,0.4333054722454398,0.41948451170489476
2023-01-01 04:30:00,2.425918513397135e-05,0.4275201992887228,0.43107117521872784
2023-01-01 04:45:00,1.2129592566985676e-05,0.43063408558270644,0.39832111610309767
2023-01-01 05:00:00,3.638877770095702e-05,0.4477604601996165,0.4009222038306928
2023-01-01 05:15:00,1.2129592566985676e-05,0.44074602160053755,0.38779853393237174
2023-01-01 05:30:00,1.2129592566985676e-05,0.433977416129931,0.3940647907306692
2023-01-01 05:45:00,1.2129592566985676e-05,0.43407574938132,0.3967841097186096
2023-01-01 06:00:00,2.425918513397135e-05,0.4387957454479899,0.40021281626862143
2023-01-01 06:15:00,1.2129592566985676e-05,0.4369601914220627,0.381414045873729
2023-01-01 06:30:00,1.2129592566985676e-05,0.4361079699100251,0.3822416646961457
2023-01-01 06:45:00,1.2129592566985676e-05,0.4334038054968288,0.38188697091511
2023-01-01 07:00:00,1.2129592566985676e-05,0.446613238933412,0.4225585244738709
2023-01-01 07:15:00,1.2129592566985676e-05,0.44513824016257764,0.40387798533932373
2023-01-01 07:30:00,1.2129592566985676e-05,0.44612157267646724,0.40695199810829985
2023-01-01 07:45:00,2.425918513397135e-05,0.44015602209220384,0.4122724048238354
2023-01-01 08:00:00,0.0001455551108038281,0.43938574495632365,0.3686450697564436
2023-01-01 08:15:00,0.0012857368121004815,0.43663241391743285,0.38082288957200283
2023-01-01 08:30:00,0.007277755540191405,0.4312732517167347,0.3620241191771104
2023-01-01 08:45:00,0.016302172410028747,0.4245865906222856,0.3628517379995271
2023-01-01 09:00:00,0.026466770981162742,0.41550715374403857,0.41061716717900215
2023-01-01 09:15:00,0.03614618584961731,0.41552354261927005,0.40872546701347834
2023-01-01 09:30:00,0.04569217519983504,0.40982021403871055,0.41061716717900215
2023-01-01 09:45:00,0.05538371966085659,0.40655882786764347,0.41002601087727597
2023-01-01 10:00:00,0.06552405904685661,0.4080829932641723,0.40387798533932373
2023-01-01 10:15:00,0.07435440243562219,0.40001966665027777,0.40399621659966894
2023-01-01 10:30:00,0.08219011923389494,0.3928741170493469,0.3943012532513597
2023-01-01 10:45:00,0.08991666969906481,0.38315551403707165,0.40399621659966894
2023-01-01 11:00:00,0.09658794561090693,0.37846829572086466,0.40707022936864506
2023-01-01 11:15:00,0.10184005919241172,0.3773210744546602,0.4243319933790494
2023-01-01 11:30:00,0.10640078599759833,0.3803857941229493,0.43036178765665645
2023-01-01 11:45:00,0.10902077799206725,0.37756690758313255,0.44052967604634663
2023-01-01 12:00:00,0.1088024453258615,0.36794663782224624,0.4212579806100733
2023-01-01 12:15:00,0.10837790958601701,0.3579822016814986,0.4084890044927879
2023-01-01 12:30:00,0.10887522288126342,0.34687054427454644,0.4209032868290376
2023-01-01 12:45:00,0.10722559829215336,0.3402986053067178,0.4652400094585008
2023-01-01 13:00:00,0.10494523488956006,0.3434944359768589,0.46937810357058407
2023-01-01 13:15:00,0.09983867641885909,0.337545274267827,0.4752896665878458
2023-01-01 13:30:00,0.09190592288005046,0.32738417162430145,0.48746748640340504
2023-01-01 13:45:00,0.08362141115679925,0.324876673713883,0.48971388034996455
2023-01-01 14:00:00,0.0757856943585265,0.33974138354884703,0.726649326081816
2023-01-01 14:15:00,0.06673701830355519,0.3381680515266237,0.7904942066682431
2023-01-01 14:30:00,0.0563055686959475,0.3281872265106446,0.7920312130527312
2023-01-01 14:45:00,0.045777082347803935,0.33466083222708426,0.7941593757389454
2023-01-01 15:00:00,0.03550331744356707,0.35735942442270185,0.793449988176874
2023-01-01 15:15:00,0.026005846463617286,0.3687660815838209,0.7926223693544573
2023-01-01 15:30:00,0.016957170408645975,0.3674549715653015,0.7921494443130763
2023-01-01 15:45:00,0.009400434239413898,0.36196469836275136,0.7908489004492788
2023-01-01 16:00:00,0.003966376769404316,0.35375387187177343,0.7887207377630645
2023-01-01 16:15:00,0.0010310153681937825,0.34555943425602703,0.786947268857886
2023-01-01 16:30:00,0.00012129592566985675,0.3388399954111149,0.7880113502009931
