Uhrzeit,Relative Bedarf,Normierter Bedarf (Prozent),Anzahl Autos,Strombedarf (kWh)
00:00:00,0.24882290171803,0.007182655579621629,22625.36507580813,144802.33648517204
00:15:00,0.216914009139872,0.0062615563410323444,19723.902474251885,126232.97583521207
00:30:00,0.183493602835381,0.005296824935045449,16684.998545393166,106783.99069051626
00:45:00,0.151383800699694,0.004369926133214915,13765.267319626982,88097.71084561269
01:00:00,0.119929300648408,0.003461943633462533,10905.12244540698,69792.78365060467
01:15:00,0.104202050622765,0.003007952383586342,9475.050008296977,60640.32005310066
01:30:00,0.0897854047659267,0.0025917937378665324,8164.150274279577,52250.561755389295
01:45:00,0.0753687589090876,0.0021756350921467,6853.250540262105,43860.80345767747
02:00:00,0.0583309047146411,0.0016838112381141618,5304.005400059609,33945.6345603815
02:15:00,0.055709696377034,0.001608146029801465,5065.659993874615,32420.223960797535
02:30:00,0.0524331859550253,0.0015135645194105994,4767.728236143388,30513.460711317686
02:45:00,0.0498119776174181,0.0014378993110979001,4529.382829958386,28988.050111733668
03:00:00,0.0485013734486146,0.001400066706941553,4410.210126865892,28225.344811941708
03:15:00,0.0491566755330163,0.001418983009019725,4469.796478412134,28606.69746183766
03:30:00,0.0491566755330163,0.001418983009019725,4469.796478412134,28606.69746183766
03:45:00,0.0491566755330163,0.001418983009019725,4469.796478412134,28606.69746183766
04:00:00,0.0485013734486146,0.001400066706941553,4410.210126865892,28225.344811941708
04:15:00,0.0478460713642128,0.0013811504048633783,4350.623775319642,27843.99216204571
04:30:00,0.0478460713642128,0.0013811504048633783,4350.623775319642,27843.99216204571
04:45:00,0.0485013734486146,0.001400066706941553,4410.210126865892,28225.344811941708
05:00:00,0.047190769279811,0.0013622341027852035,4291.037423773391,27462.639512149704
05:15:00,0.047190769279811,0.0013622341027852035,4291.037423773391,27462.639512149704
05:30:00,0.047190769279811,0.0013622341027852035,4291.037423773391,27462.639512149704
05:45:00,0.047190769279811,0.0013622341027852035,4291.037423773391,27462.639512149704
06:00:00,0.0478460713642128,0.0013811504048633783,4350.623775319642,27843.99216204571
06:15:00,0.0485013734486146,0.001400066706941553,4410.210126865892,28225.344811941708
06:30:00,0.0485013734486146,0.001400066706941553,4410.210126865892,28225.344811941708
06:45:00,0.0485013734486146,0.001400066706941553,4410.210126865892,28225.344811941708
07:00:00,0.0485013734486146,0.001400066706941553,4410.210126865892,28225.344811941708
07:15:00,0.0491566755330163,0.001418983009019725,4469.796478412134,28606.69746183766
07:30:00,0.0524331859550253,0.0015135645194105994,4767.728236143388,30513.460711317686
07:45:00,0.055709696377034,0.001608146029801465,5065.659993874615,32420.223960797535
08:00:00,0.0570203005458376,0.0016459786339578148,5184.832696967117,33182.92926058955
08:15:00,0.064883925558659,0.0018729742588959077,5899.868915522109,37759.1610593415
08:30:00,0.0714369464026769,0.0020621372796776533,6495.732430984608,41572.68755830149
08:45:00,0.0793005714154984,0.0022891329046157488,7210.768649539608,46148.9193570535
09:00:00,0.0878194985127214,0.002535044831632011,7985.391219640834,51106.50380570134
