Uhrzeit;Relativer Bedarf;Normierter Bedarf;Anzahl Autos;Strombedarf (kWh)
00:00;0.485847461;0.007226518747495081;25292.815616232783;161874.0199438898
00:15;0.465164299;0.006918876390688614;24216.06736741015;154982.83115142497
00:30;0.444509239;0.006611652024395928;23140.78208538575;148101.0053464688
00:45;0.423895255;0.006305038624523569;22067.635185832492;141232.86518932795
01:00;0.403273905;0.005998315662409215;20994.104818432254;134362.27083796644
01:15;0.382366682;0.005687340611399202;19905.692139897208;127396.42969534214
01:30;0.361962191;0.005383843220590372;18843.4512720663;120598.08814122433
01:45;0.3410783;0.005073215210882313;17756.253238088095;113640.02072376381
02:00;0.321087396;0.004775869533212148;16715.54336624252;106979.47754395213
02:15;0.30198518;0.0044917422440449405;15721.097854157291;100615.02626660667
02:30;0.281211746;0.004182757177123181;14639.650119931133;93693.76076755926
02:45;0.26005366;0.0038680507776590227;13538.17772180658;86644.33741956211
03:00;0.224616449;0.0033409559789677953;11693.345926387283;74837.41392887861
03:15;0.196616318;0.0029244806696446944;10235.68234375643;65508.36700004116
03:30;0.175763529;0.002614315272596218;9150.103454086764;58560.662106155294
03:45;0.156567927;0.002328798955526375;8150.796344342312;52165.0966037908
04:00;0.155061889;0.0023063980731197055;8072.393255918969;51663.3168378814
04:15;0.134327188;0.0019979891227224016;6992.961929528406;44754.956348981796
04:30;0.134241178;0.001996709805802246;6988.484320307861;44726.299649970315
04:45;0.113709822;0.0016913254188176742;5919.638965861859;37885.6893815159
05:00;0.113575983;0.0016893346910269902;5912.671418594466;37841.09707900458
05:15;0.093034549;0.0013838004033806192;4843.301411832167;30997.12903572587
05:30;0.093794204;0.0013950995487704693;4882.848420696642;31250.229892458512
05:45;0.072360033;0.0010762866475983554;3767.003266594244;24108.820906203164
06:00;0.068962188;0.0010257469359303295;3590.114275756153;22976.73136483938
06:15;0.051685977;0.0007687797338784478;2690.7290685745675;17220.666038877232
06:30;0.0516859;0.0007687785885767055;2690.7250600184693;17220.640384118204
06:45;0.0516859;0.0007687785885767055;2690.7250600184693;17220.640384118204
07:00;0.0516859;0.0007687785885767055;2690.7250600184693;17220.640384118204
07:15;0.0516859;0.0007687785885767055;2690.7250600184693;17220.640384118204
07:30;0.051686298;0.0007687845084480486;2690.7457795681703;17220.77298923629
07:45;0.041878947;0.0006229094930288271;2180.1832256008947;13953.172643845726
08:00;0.051686264;0.0007687840027303963;2690.744009556387;17220.76166116088
08:15;0.05172266;0.0007693253586032714;2692.63875511145;17232.88803271328
08:30;0.072343495;0.001076040660582595;3766.1423120390828;24103.31079705013
08:45;0.093213416;0.0013864608798317007;4852.613079410952;31056.723708230096
09:00;0.135176958;0.002010628643001914;7037.2002505066985;45038.08160324287
09:15;0.175731615;0.0026138405822091716;9148.4420377321;58550.029041485446
09:30;0.216034462;0.003213307087238259;11246.574805333907;71978.07875413701
09:45;0.279404621;0.004155877912045439;14545.572692159036;93091.66522981784
10:00;0.341372159;0.005077586083930099;17771.551293755347;113737.92828003422
10:15;0.412356651;0.006133412867842045;21466.94503744716;137388.44823966184
10:30;0.493575584;0.007341467224590134;25695.13528606547;164448.865830819
10:45;0.590331618;0.008780621176727945;30732.17411854781;196685.91435870598
11:00;0.70274437;0.010452653913326965;36584.28869664438;234139.44765852403
11:15;0.79909386;0.011885760910250408;41600.16318587643;266241.0443896092
11:30;0.891343551;0.01325788729759429;46402.605541580015;296976.6754661121
11:45;0.992501629;0.014762517466131017;51668.81113145856;330680.39124133484
12:00;1.094811542;0.016284280084437858;56994.9802955325;364767.87389140803
12:15;1.168760738;0.017384204019732823;60844.71406906488;389406.17004201526
12:30;1.226698511;0.018245973271157633;63860.90644905172;408709.80127393105
12:45;1.274501809;0.018957001848888728;66349.50647111055;424636.84141510754
13:00;1.312344134;0.01951987043010645;68319.54650537256;437245.0976343844
13:15;1.354095138;0.02014087689273514;70493.069124573;451155.6423972672
13:30;1.374831509;0.02044931068279361;71572.58738977765;458064.559294577
13:45;1.395511473;0.020756905472392652;72649.16915337429;464954.68258159544
14:00;1.395519302;0.02075702192131915;72649.57672461703;464957.29103754903
14:15;1.395519302;0.02075702192131915;72649.57672461703;464957.29103754903
14:30;1.395519302;0.02075702192131915;72649.57672461703;464957.29103754903
14:45;1.395512231;0.020756916746921494;72649.20861422522;464954.93513104145
15:00;1.374851306;0.020449605144333763;71573.61800516817;458071.1552330763
15:15;1.374844538;0.02044950447677283;71573.2656687049;458068.9002797114
15:30;1.354264182;0.02014339126140682;70501.86941492387;451211.9642555128
15:45;1.3541705;0.020141997830785796;70496.99240775028;451180.7514096018
16:00;1.337794183;0.019898415695825494;69644.45493538922;445724.511586491
16:15;1.333496197;0.019834487243175887;69420.7053511156;444292.51424713986
16:30;1.333792377;0.019838892638890476;69436.12423611667;444391.19511114666
16:45;1.312821793;0.019526975153287062;68344.41303650472;437404.2434336302
17:00;1.303920797;0.01939458130618743;67881.03457165601;434438.6212585985
17:15;1.292201074;0.01922026157669738;67270.91551844083;430533.85931802134
17:30;1.271473953;0.01891196537158847;66191.87880055964;423628.0243235817
17:45;1.250740423;0.018603573838702078;65112.508435457275;416720.05398692656
18:00;1.230324833;0.018299911360827828;64049.6897628974;409918.01448254334
18:15;1.209399948;0.017988673604371425;62960.35761529999;402946.28873791994
18:30;1.188784745;0.01768204207303382;61887.14725561837;396077.7424359576
18:45;1.148328177;0.017080289114379768;59781.01190032919;382598.47616210685
19:00;1.147216457;0.017063753337069276;59723.13667974246;382228.0747503518
19:15;1.1267536;0.01675938780753981;58657.857326389334;375410.2868888918
19:30;1.12657836;0.016756781279263003;58648.73447742051;375351.9006554913
19:45;1.106079286;0.016451877056315362;57581.56969710377;368522.0460614641
20:00;1.106036142;0.01645123533036253;57579.323656268854;368507.6714001207
20:15;1.085417214;0.01614454839319389;56505.91937617861;361637.8840075431
20:30;1.06477385;0.015837497993773635;55431.24297820772;354759.95506052946
20:45;1.029867121;0.015318293610132266;53614.02763546293;343129.7768669628
21:00;1.003421448;0.014924939384649087;52237.28784627181;334318.6422161396
21:15;0.961691662;0.014304248519583604;50064.86981854261;320415.1668386727
21:30;0.927564236;0.013796635526638991;48288.22434323647;309044.6357967134
21:45;0.898992312;0.013371655340444285;46800.793691555;299525.079625952
22:00;0.848795676;0.01262502813698302;44187.598479440574;282800.6302684197
22:15;0.796109297;0.011841368375136222;41444.789312976776;265246.6516030514
22:30;0.73413327;0.010919533937452989;38218.36878108546;244597.56019894697
22:45;0.67619623;0.010057775588705804;35202.21456047032;225294.17318701005
23:00;0.616084661;0.009163673189928745;32072.856164750607;205266.2794544039
23:15;0.589957614;0.008775058223055047;30712.703780692664;196561.30419643305
23:30;0.547757606;0.008147373253108395;28515.806385879383;182501.16086962807
23:45;0.527236472;0.00784214090864862;27447.493180270172;175663.95635372913
;;;;
;;;;
