,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
7554,2030-03-20 16:30:00,9373.326369204731,0.0,9373.326369204731,12727.917265329308
7555,2030-03-20 16:45:00,8615.917821500385,0.0,8615.917821500385,13521.188677848735
7556,2030-03-20 17:00:00,7855.308830582922,0.0,7855.308830582922,14500.58835732732
7557,2030-03-20 17:15:00,7176.9868577790585,0.0,7176.9868577790585,15282.437925809805
7558,2030-03-20 17:30:00,6619.294595630624,0.0,6619.294595630624,15953.521808217465
7559,2030-03-20 17:45:00,6141.302409410272,0.0,6141.302409410272,16688.341852550606
7560,2030-03-20 18:00:00,5755.876300489962,0.0,5755.876300489962,17340.603714455305
7561,2030-03-20 18:15:00,5632.144036234358,0.0,5632.144036234358,17505.22117369521
7562,2030-03-20 18:30:00,5658.5539079757455,0.0,5658.5539079757455,17669.770896224138
7563,2030-03-20 18:45:00,5695.443622907126,0.0,5695.443622907126,17852.901160938247
7564,2030-03-20 19:00:00,5755.632113368209,0.0,5755.632113368209,18162.705022362636
7565,2030-03-20 19:15:00,5782.741080126219,0.0,5782.741080126219,17943.580898612763
7566,2030-03-20 19:30:00,5824.074316174719,0.0,5824.074316174719,17706.52964809012
7567,2030-03-20 19:45:00,5830.676943318864,0.0,5830.676943318864,17308.871139448005
7568,2030-03-20 20:00:00,5826.6066214558905,0.0,5826.6066214558905,16985.583474649982
7569,2030-03-20 20:15:00,5831.325668409533,0.0,5831.325668409533,16579.23111111936
7570,2030-03-20 20:30:00,5886.168812913523,0.0,5886.168812913523,16254.914264750078
7571,2030-03-20 20:45:00,5857.054161090137,0.0,5857.054161090137,15938.60328455238
7572,2030-03-20 21:00:00,5890.534647468022,0.0,5890.534647468022,15491.093291698147
7573,2030-03-20 21:15:00,5840.287261770966,0.0,5840.287261770966,15234.106636355908
7574,2030-03-20 21:30:00,5810.719348043818,0.0,5810.719348043818,14958.68765840145
7575,2030-03-20 21:45:00,5753.23044101148,0.0,5753.23044101148,14674.747227084197
7576,2030-03-20 22:00:00,5749.413588778263,0.0,5749.413588778263,14470.338834188666
7577,2030-03-20 22:15:00,5736.673082045509,0.0,5736.673082045509,14179.537533258848
7578,2030-03-20 22:30:00,5710.8700152950805,0.0,5710.8700152950805,13858.619319220812
7579,2030-03-20 22:45:00,5708.574680590109,0.0,5708.574680590109,13393.039629699293
7580,2030-03-20 23:00:00,5655.198196158906,0.0,5655.198196158906,13129.779416766838
7581,2030-03-20 23:15:00,5616.023534085129,0.0,5616.023534085129,12833.831396998426
7582,2030-03-20 23:30:00,5630.634442828346,0.0,5630.634442828346,12542.093847931394
7583,2030-03-20 23:45:00,5603.454025022352,0.0,5603.454025022352,12192.847983969921
7584,2030-03-21 00:00:00,5567.610705332429,0.0,5567.610705332429,11981.03890615441
7585,2030-03-21 00:15:00,5547.52411142931,0.0,5547.52411142931,11744.147810236354
7586,2030-03-21 00:30:00,5533.123577922785,0.0,5533.123577922785,11497.854371513527
7587,2030-03-21 00:45:00,5516.7232527264205,0.0,5516.7232527264205,11321.873127937713
7588,2030-03-21 01:00:00,5495.493749042963,0.0,5495.493749042963,11136.729422310516
7589,2030-03-21 01:15:00,5485.828443564515,0.0,5485.828443564515,11018.705443526527
7590,2030-03-21 01:30:00,5465.602298011362,0.0,5465.602298011362,10960.040123066654
7591,2030-03-21 01:45:00,5438.265820907527,0.0,5438.265820907527,10848.088037494615
7592,2030-03-21 02:00:00,5399.304792242563,0.0,5399.304792242563,10818.523241663974
7593,2030-03-21 02:15:00,5366.106608597374,0.0,5366.106608597374,10927.795624886958
7594,2030-03-21 02:30:00,5331.389111480378,0.0,5331.389111480378,11025.020140233795
7595,2030-03-21 02:45:00,5314.595642255761,0.0,5314.595642255761,11061.70884600747
7596,2030-03-21 03:00:00,5296.133876819206,0.0,5296.133876819206,11156.622880440347
7597,2030-03-21 03:15:00,5296.603051280902,0.0,5296.603051280902,11243.376638747566
7598,2030-03-21 03:30:00,5293.405240482395,0.0,5293.405240482395,11330.983497109904
7599,2030-03-21 03:45:00,5277.4994200175215,0.0,5277.4994200175215,11398.94720964969
7600,2030-03-21 04:00:00,5286.413767385837,0.0,5286.413767385837,11750.869606305727
7601,2030-03-21 04:15:00,5315.727807160496,0.0,5315.727807160496,12025.663441361732
7602,2030-03-21 04:30:00,5306.039252739163,0.0,5306.039252739163,12245.740514444216
7603,2030-03-21 04:45:00,5273.182631842481,0.0,5273.182631842481,12523.772236132017
7604,2030-03-21 05:00:00,5262.817595606546,0.0,5262.817595606546,12918.652188393437
7605,2030-03-21 05:15:00,5265.445815902096,0.0,5265.445815902096,13219.270443778381
7606,2030-03-21 05:30:00,5280.455661764367,0.0,5280.455661764367,13448.972482338688
7607,2030-03-21 05:45:00,5311.255187099334,0.0,5311.255187099334,14034.160585700985
7608,2030-03-21 06:00:00,5394.493420990077,0.0,5394.493420990077,14922.44006982698
7609,2030-03-21 06:15:00,5468.178403927224,0.0,5468.178403927224,15444.593393591778
7610,2030-03-21 06:30:00,5601.820609575262,0.0,5601.820609575262,15816.344684387965
7611,2030-03-21 06:45:00,5869.055941702382,0.0,5869.055941702382,15927.57817096739
7612,2030-03-21 07:00:00,6295.413123168841,0.0,6295.413123168841,15691.476619854973
7613,2030-03-21 07:15:00,6791.479948099413,0.0,6791.479948099413,15550.26517026283
7614,2030-03-21 07:30:00,7369.859652058902,0.0,7369.859652058902,15267.670375624934
7615,2030-03-21 07:45:00,7974.9785253529835,0.0,7974.9785253529835,14859.504423097122
7616,2030-03-21 08:00:00,8641.028625231793,0.0,8641.028625231793,14528.465063723423
7617,2030-03-21 08:15:00,9292.635764283277,0.0,9292.635764283277,14181.281001523545
7618,2030-03-21 08:30:00,10039.827624909643,0.0,10039.827624909643,13596.563510100199
