,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh
0,2030-01-01 00:00:00,19300.659222672348,5685.05978448285,13615.599438189498
1,2030-01-01 00:15:00,19333.096886160027,5829.4006998402765,13503.69618631975
2,2030-01-01 00:30:00,19605.384233372202,6146.027071378201,13459.357161994001
3,2030-01-01 00:45:00,19232.07055732242,5835.3510646139985,13396.71949270842
4,2030-01-01 01:00:00,19649.88764115292,6371.757443664954,13278.130197487966
5,2030-01-01 01:15:00,19663.422689599134,6420.1302969385415,13243.292392660593
6,2030-01-01 01:30:00,19524.510974695324,6136.940804466818,13387.570170228506
7,2030-01-01 01:45:00,19766.39404764096,6500.580245799038,13265.813801841921
8,2030-01-01 02:00:00,19460.805946855955,6343.140789784986,13117.66515707097
9,2030-01-01 02:15:00,19825.859679021014,6782.09289582629,13043.766783194724
10,2030-01-01 02:30:00,19523.774271610324,6557.424832476436,12966.349439133888
11,2030-01-01 02:45:00,19690.147550457506,6821.977379473488,12868.170170984018
12,2030-01-01 03:00:00,18879.339445467536,6080.492987119809,12798.846458347727
13,2030-01-01 03:15:00,18579.156938261003,5960.833650382396,12618.323287878608
14,2030-01-01 03:30:00,18372.822755126424,0.0,18372.822755126424
15,2030-01-01 03:45:00,18376.931662568757,0.0,18376.931662568757
16,2030-01-01 04:00:00,18530.893961088834,0.0,18530.893961088834
17,2030-01-01 04:15:00,18282.434995428735,0.0,18282.434995428735
18,2030-01-01 04:30:00,18107.582923662932,0.0,18107.582923662932
19,2030-01-01 04:45:00,18194.510118986356,0.0,18194.510118986356
20,2030-01-01 05:00:00,18696.83364388503,0.0,18696.83364388503
21,2030-01-01 05:15:00,18494.953604226845,0.0,18494.953604226845
22,2030-01-01 05:30:00,18274.255207527305,0.0,18274.255207527305
23,2030-01-01 05:45:00,18264.997582523632,0.0,18264.997582523632
24,2030-01-01 06:00:00,18386.43385753911,0.0,18386.43385753911
25,2030-01-01 06:15:00,18231.066002781863,0.0,18231.066002781863
26,2030-01-01 06:30:00,18116.35362639696,0.0,18116.35362639696
27,2030-01-01 06:45:00,17963.456858928665,0.0,17963.456858928665
28,2030-01-01 07:00:00,18180.78416010272,0.0,18180.78416010272
29,2030-01-01 07:15:00,17926.874478679132,0.0,17926.874478679132
30,2030-01-01 07:30:00,17868.90387238502,0.0,17868.90387238502
31,2030-01-01 07:45:00,17602.304715701233,0.0,17602.304715701233
32,2030-01-01 08:00:00,17565.035336896246,0.0,17565.035336896246
33,2030-01-01 08:15:00,17351.839486591845,0.0,17351.839486591845
34,2030-01-01 08:30:00,17246.073482081665,0.0,17246.073482081665
35,2030-01-01 08:45:00,17421.899662440595,0.0,17421.899662440595
36,2030-01-01 09:00:00,17651.484789306312,0.0,17651.484789306312
37,2030-01-01 09:15:00,18125.401977162957,0.0,18125.401977162957
38,2030-01-01 09:30:00,18494.12986442542,0.0,18494.12986442542
39,2030-01-01 09:45:00,19054.882970414303,0.0,19054.882970414303
40,2030-01-01 10:00:00,19724.856681180358,0.0,19724.856681180358
41,2030-01-01 10:15:00,20188.71393303719,0.0,20188.71393303719
42,2030-01-01 10:30:00,20542.475905286454,0.0,20542.475905286454
43,2030-01-01 10:45:00,20846.45511371858,0.0,20846.45511371858
44,2030-01-01 11:00:00,21085.06375427633,0.0,21085.06375427633
45,2030-01-01 11:15:00,21786.884155758766,0.0,21786.884155758766
46,2030-01-01 11:30:00,22417.342267320117,0.0,22417.342267320117
47,2030-01-01 11:45:00,22440.233280395925,0.0,22440.233280395925
48,2030-01-01 12:00:00,22264.717532745904,0.0,22264.717532745904
49,2030-01-01 12:15:00,21759.38183826435,0.0,21759.38183826435
50,2030-01-01 12:30:00,20869.36988989886,0.0,20869.36988989886
51,2030-01-01 12:45:00,20345.065487946362,0.0,20345.065487946362
52,2030-01-01 13:00:00,19924.81059184019,0.0,19924.81059184019
53,2030-01-01 13:15:00,19375.280544742505,0.0,19375.280544742505
54,2030-01-01 13:30:00,18552.95205652311,0.0,18552.95205652311
55,2030-01-01 13:45:00,17971.758077579223,0.0,17971.758077579223
56,2030-01-01 14:00:00,17432.588323403237,0.0,17432.588323403237
57,2030-01-01 14:15:00,16456.574422269965,0.0,16456.574422269965
58,2030-01-01 14:30:00,15218.31323381668,-41.70097162856837,15260.014205445248
59,2030-01-01 14:45:00,14523.002481065787,-679.6525103707554,15202.654991436542
60,2030-01-01 15:00:00,14251.534827799485,-1109.121924924846,15360.656752724331
61,2030-01-01 15:15:00,13649.643661253964,-1662.803199941578,15312.446861195542
62,2030-01-01 15:30:00,12864.79809303308,-2530.344567500166,15395.142660533245
63,2030-01-01 15:45:00,12033.365949833398,-3398.374000619515,15431.739950452913
64,2030-01-01 16:00:00,11405.216116713851,-4295.72505285968,15700.94116957353
65,2030-01-01 16:15:00,10947.691103707106,-4964.740173959877,15912.431277666983
66,2030-01-01 16:30:00,10640.196647277284,-5525.600483679693,16165.797130956977
67,2030-01-01 16:45:00,10608.345648428929,-5895.272620248039,16503.618268676968
68,2030-01-01 17:00:00,10473.998979632097,-6473.009532302362,16947.00851193446
69,2030-01-01 17:15:00,10409.123652656746,-6681.10694579025,17090.230598446997
70,2030-01-01 17:30:00,10399.217684585,-6835.290691429909,17234.50837601491
71,2030-01-01 17:45:00,10533.914615130421,-6788.919912517527,17322.83452764795
72,2030-01-01 18:00:00,10752.889824844615,-6593.521803040045,17346.41162788466
73,2030-01-01 18:15:00,10637.975007493089,-6642.631877939861,17280.60688543295
74,2030-01-01 18:30:00,10571.100216263007,-6597.6034173001935,17168.7036335632
75,2030-01-01 18:45:00,10448.666260128579,-6284.580313947117,16733.246574075696
76,2030-01-01 19:00:00,10348.856461443827,0.0,10348.856461443827
77,2030-01-01 19:15:00,10586.755905115437,0.0,10586.755905115437
78,2030-01-01 19:30:00,10832.750878688368,0.0,10832.750878688368
79,2030-01-01 19:45:00,11161.895961294143,0.0,11161.895961294143
80,2030-01-01 20:00:00,11707.739403258149,0.0,11707.739403258149
81,2030-01-01 20:15:00,11823.35699872826,0.0,11823.35699872826
82,2030-01-01 20:30:00,12095.306205108156,0.0,12095.306205108156
83,2030-01-01 20:45:00,12547.487355899559,0.0,12547.487355899559
84,2030-01-01 21:00:00,12822.114192551846,0.0,12822.114192551846
85,2030-01-01 21:15:00,12693.80712182154,0.0,12693.80712182154
86,2030-01-01 21:30:00,12581.682906860247,0.0,12581.682906860247
87,2030-01-01 21:45:00,12582.090781978462,0.0,12582.090781978462
88,2030-01-01 22:00:00,12796.543998283432,0.0,12796.543998283432
89,2030-01-01 22:15:00,12943.204898222659,0.0,12943.204898222659
90,2030-01-01 22:30:00,13069.616163950584,0.0,13069.616163950584
91,2030-01-01 22:45:00,13288.944813732482,0.0,13288.944813732482
92,2030-01-01 23:00:00,13183.717115418793,0.0,13183.717115418793
93,2030-01-01 23:15:00,13213.165837566426,0.0,13213.165837566426
94,2030-01-01 23:30:00,13463.392003565034,0.0,13463.392003565034
95,2030-01-01 23:45:00,13605.881356977774,283.4121351640588,13322.469221813715
96,2030-01-02 00:00:00,13708.097575808775,515.4783538061802,13192.619222002595
97,2030-01-02 00:15:00,13876.5120179917,790.5175925819822,13085.994425409717
98,2030-01-02 00:30:00,14106.740700672162,1267.0741881832691,12839.666512488893
99,2030-01-02 00:45:00,14170.548429947376,1504.0152505399801,12666.533179407395
100,2030-01-02 01:00:00,14263.495992047294,1714.1445197865178,12549.351472260776
101,2030-01-02 01:15:00,14431.895156081187,2013.4493746869084,12418.445781394279
102,2030-01-02 01:30:00,14342.398274049789,1926.0638747662597,12416.334399283529
103,2030-01-02 01:45:00,14037.46548020694,1559.5491026932068,12477.916377513733
104,2030-01-02 02:00:00,14434.710635814416,1984.946019777346,12449.76461603707
105,2030-01-02 02:15:00,14706.568337277702,2369.762664165757,12336.805673111945
106,2030-01-02 02:30:00,14597.279414203895,2208.0410853416597,12389.238328862235
107,2030-01-02 02:45:00,14511.376599135723,2021.4957229944066,12489.880876141317
108,2030-01-02 03:00:00,14728.126045263143,2131.2684755104947,12596.857569752648
109,2030-01-02 03:15:00,14927.907784516672,2307.4731145273145,12620.434669989358
110,2030-01-02 03:30:00,14891.72935829379,2191.765962132851,12699.963396160938
111,2030-01-02 03:45:00,15048.295698407292,2210.0367739922312,12838.25892441506
112,2030-01-02 04:00:00,15305.149165636638,2302.9062306199994,13002.242935016639
