,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
0,2030-01-01 00:00:00,14689.052150796504,0.0,14689.052150796504,1789.3813980183859
1,2030-01-01 00:15:00,14706.292309484168,0.0,14706.292309484168,1651.2746749555663
2,2030-01-01 00:30:00,15000.113564946205,0.0,15000.113564946205,1308.444289339157
3,2030-01-01 00:45:00,14752.67905512893,0.0,14752.67905512893,1494.205972860067
4,2030-01-01 01:00:00,15349.75670867152,0.0,15349.75670867152,756.6009071380013
5,2030-01-01 01:15:00,15606.78883666857,0.0,15606.78883666857,462.42251269018743
6,2030-01-01 01:30:00,15556.650887086302,0.0,15556.650887086302,661.2658419540712
7,2030-01-01 01:45:00,15914.32102628338,0.0,15914.32102628338,191.00624231637084
8,2030-01-01 02:00:00,15761.52513094653,0.0,15761.52513094653,298.2467921200623
9,2030-01-01 02:15:00,16225.022639553874,-208.74284474805972,16016.279794805814,0.0
10,2030-01-01 02:30:00,15965.936425052449,8.246218808057165,15974.182643860506,0.0
11,2030-01-01 02:45:00,16211.946785448896,-303.2678645078922,15908.678920941004,0.0
12,2030-01-01 03:00:00,15558.00848626389,365.9264889387305,15923.934975202621,0.0
13,2030-01-01 03:15:00,15429.054280829838,137.83800150916431,15566.892282339002,203.08791488739553
14,2030-01-01 03:30:00,15269.805018052499,0.0,15269.805018052499,492.01466346758934
15,2030-01-01 03:45:00,15310.50675997885,0.0,15310.50675997885,519.1556330550538
16,2030-01-01 04:00:00,15552.982410146427,0.0,15552.982410146427,318.7708233780413
17,2030-01-01 04:15:00,15393.198953468927,0.0,15393.198953468927,463.0662379276873
18,2030-01-01 04:30:00,15214.1529868278,0.0,15214.1529868278,695.4706325800944
19,2030-01-01 04:45:00,15258.8129864382,0.0,15258.8129864382,756.825538584364
20,2030-01-01 05:00:00,15711.929741481583,0.0,15711.929741481583,355.3252151898505
21,2030-01-01 05:15:00,15481.01993236421,0.0,15481.01993236421,657.3459662496443
22,2030-01-01 05:30:00,15228.25350340178,0.0,15228.25350340178,1009.2321400162655
23,2030-01-01 05:45:00,15152.620530771155,0.0,15152.620530771155,1105.0165985696894
24,2030-01-01 06:00:00,15180.39416699421,0.0,15180.39416699421,1028.9150600173907
25,2030-01-01 06:15:00,15088.394821528012,0.0,15088.394821528012,1235.9187564191907
26,2030-01-01 06:30:00,15124.476181237193,0.0,15124.476181237193,1151.6280659235508
27,2030-01-01 06:45:00,15107.782205499416,0.0,15107.782205499416,1205.1932314547903
28,2030-01-01 07:00:00,15557.58493909513,0.0,15557.58493909513,1089.718526514287
29,2030-01-01 07:15:00,15575.477685782624,0.0,15575.477685782624,1141.2847848037109
30,2030-01-01 07:30:00,15632.129550342837,0.0,15632.129550342837,1139.1667592835474
31,2030-01-01 07:45:00,15527.183098463567,0.0,15527.183098463567,1298.0051961308163
32,2030-01-01 08:00:00,15517.941047771354,0.0,15517.941047771354,1075.4425498930796
33,2030-01-01 08:15:00,15482.569301814556,0.0,15482.569301814556,1158.73945200844
34,2030-01-01 08:30:00,15551.416394174857,0.0,15551.416394174857,1217.9937605013165
35,2030-01-01 08:45:00,15721.778490058872,0.0,15721.778490058872,1152.9943069338424
36,2030-01-01 09:00:00,15944.505304833538,0.0,15944.505304833538,939.2923625680287
37,2030-01-01 09:15:00,16377.907823238282,0.0,16377.907823238282,794.714069949634
38,2030-01-01 09:30:00,16791.389738191425,0.0,16791.389738191425,567.3659189475984
39,2030-01-01 09:45:00,17394.869171466835,0.0,17394.869171466835,102.6732557935211
40,2030-01-01 10:00:00,18254.96745822902,-1159.8500699812357,17095.117388247785,0.0
41,2030-01-01 10:15:00,18943.539708923796,-1641.850338851218,17301.689370072578,0.0
42,2030-01-01 10:30:00,19611.64237455751,-2092.1246759468413,17519.517698610667,0.0
43,2030-01-01 10:45:00,20063.105992535322,-2414.7623155121837,17648.34367702314,0.0
44,2030-01-01 11:00:00,20406.706622221267,-4437.3996192374525,15969.307002983815,0.0
45,2030-01-01 11:15:00,20967.67946156148,-4633.170980497065,16334.508481064417,0.0
46,2030-01-01 11:30:00,21495.997475155786,-4940.300191592403,16555.697283563382,0.0
47,2030-01-01 11:45:00,21686.819266652437,-5106.675744918608,16580.14352173383,0.0
48,2030-01-01 12:00:00,21819.54408159428,-5240.926683062997,16578.61739853128,0.0
49,2030-01-01 12:15:00,21570.39813680971,-4969.269110187197,16601.12902662251,0.0
50,2030-01-01 12:30:00,21229.3377424986,-4731.19107037452,16498.14667212408,0.0
51,2030-01-01 12:45:00,21196.101475205098,-4323.757906793286,16872.343568411812,0.0
52,2030-01-01 13:00:00,21080.044493036654,-2291.4368494543596,18788.607643582294,0.0
53,2030-01-01 13:15:00,20681.894362168343,-2017.0466930649054,18664.847669103438,0.0
54,2030-01-01 13:30:00,19982.706049066634,-1483.588362850107,18499.117686216527,0.0
55,2030-01-01 13:45:00,19504.275953417593,-1263.668719705649,18240.607233711944,0.0
56,2030-01-01 14:00:00,19288.995553361212,-1237.0312081915836,18051.96434516963,0.0
57,2030-01-01 14:15:00,18609.981282235265,-692.1541603265323,17917.827121908733,0.0
58,2030-01-01 14:30:00,17718.79784320381,196.72651470870915,17915.52435791252,0.0
59,2030-01-01 14:45:00,17231.838631402927,570.3334161579041,17802.17204756083,0.0
60,2030-01-01 15:00:00,17029.91973321354,1037.0693129877218,18066.989046201263,0.0
61,2030-01-01 15:15:00,16390.93012607365,1614.616026211097,18005.546152284747,0.0
62,2030-01-01 15:30:00,15473.23145488733,2597.708490882367,18070.939945769696,0.0
63,2030-01-01 15:45:00,14580.970499250787,3504.2258735432006,18085.196372793987,0.0
64,2030-01-01 16:00:00,13851.10480362307,4480.9656807630945,18332.070484386164,0.0
65,2030-01-01 16:15:00,13580.648699610325,4950.012918842445,18530.66161845277,0.0
66,2030-01-01 16:30:00,13550.694658555363,5237.134249195184,18787.828907750547,0.0
67,2030-01-01 16:45:00,13485.359844396507,5661.105132812181,19146.46497720869,0.0
68,2030-01-01 17:00:00,13478.81036891529,6224.2467321371605,19703.05710105245,0.0
69,2030-01-01 17:15:00,13662.648125759397,6189.206580265805,19851.854706025202,0.0
70,2030-01-01 17:30:00,13968.553815583706,6040.502488207621,20009.056303791327,0.0
71,2030-01-01 17:45:00,14112.225386613061,5990.0785242487855,20102.303910861847,0.0
72,2030-01-01 18:00:00,14140.352357207772,382.2727595848701,14522.625116792642,5674.677465161702
73,2030-01-01 18:15:00,14262.672336726004,0.0,14262.672336726004,5886.020663329413
74,2030-01-01 18:30:00,14417.82099488775,0.0,14417.82099488775,5629.248817838479
75,2030-01-01 18:45:00,14456.855023164977,0.0,14456.855023164977,5440.42034800994
