Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
2030-01-01 00:00:00,4475.358795321342,0.0,-5198.092686676625,9673.451481997967
2030-01-01 00:15:00,4382.449160591602,0.0,-5211.5024169526105,9593.951577544212
2030-01-01 00:30:00,4309.134934571615,0.0,-5253.318161460527,9562.453096032143
2030-01-01 00:45:00,4280.358030168512,0.0,-5237.594647021791,9517.952677190304
2030-01-01 01:00:00,4272.129718539874,0.0,-5161.572643759091,9433.702362298965
2030-01-01 01:15:00,4252.964380694968,0.0,-5155.986261443752,9408.95064213872
2030-01-01 01:30:00,4266.292730991081,0.0,-5245.157829310461,9511.450560301542
2030-01-01 01:45:00,4277.951158477417,0.0,-5147.000925825485,9424.952084302902
2030-01-01 02:00:00,4278.6097506295855,0.0,-5041.093304543573,9319.703055173159
2030-01-01 02:15:00,4266.5070843683425,0.0,-5000.695816816216,9267.202901184559
2030-01-01 02:30:00,4258.105159402436,0.0,-4954.096771388704,9212.20193079114
2030-01-01 02:45:00,4259.612579635896,0.0,-4882.84021345564,9142.452793091536
2030-01-01 03:00:00,4283.563963609491,0.0,-4809.641808045353,9093.205771654844
2030-01-01 03:15:00,4328.41219024237,0.0,-4636.54740612332,8964.95959636569
2030-01-01 03:30:00,4340.973732213705,0.0,-4593.485620041162,8934.459352254868
2030-01-01 03:45:00,4346.158020166655,0.0,-4595.550511809091,8941.708531975746
2030-01-01 04:00:00,4364.292680545701,0.0,-4542.415483848201,8906.708164393902
2030-01-01 04:15:00,4363.431020506062,0.0,-4492.026349536739,8855.4573700428
2030-01-01 04:30:00,4350.65823604734,0.0,-4499.549759903835,8850.207995951176
2030-01-01 04:45:00,4292.678487681544,0.0,-4583.030519790256,8875.7090074718
2030-01-01 05:00:00,4186.4376712155445,0.0,-4727.771554141034,8914.209225356579
2030-01-01 05:15:00,4120.404953677207,0.0,-4793.3033380918205,8913.708291769028
2030-01-01 05:30:00,4060.491284820309,0.0,-4871.4685440034955,8931.959828823805
