,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
34,2030-01-01 08:30:00,15551.416394174857,0.0,15551.416394174857,-2209.931025250542
35,2030-01-01 08:45:00,15721.778490058872,0.0,15721.778490058872,-2245.5348504217345
36,2030-01-01 09:00:00,15944.505304833538,0.0,15944.505304833538,-2273.97366533503
37,2030-01-01 09:15:00,16377.907823238282,0.0,16377.907823238282,-2401.442240503271
38,2030-01-01 09:30:00,16791.389738191425,0.0,16791.389738191425,-2601.049076934709
39,2030-01-01 09:45:00,17394.869171466835,0.0,17394.869171466835,-3024.9753559867604
40,2030-01-01 10:00:00,18254.96745822902,0.0,18254.96745822902,-4021.2524467612275
41,2030-01-01 10:15:00,18943.539708923796,0.0,18943.539708923796,-4477.631094227589
42,2030-01-01 10:30:00,19611.64237455751,0.0,19611.64237455751,-4885.356662711019
43,2030-01-01 10:45:00,20063.105992535322,0.0,20063.105992535322,-5163.055067683563
44,2030-01-01 11:00:00,20406.706622221267,0.0,20406.706622221267,-5893.217380542179
45,2030-01-01 11:15:00,20967.67946156148,0.0,20967.67946156148,-6130.6149474869035
46,2030-01-01 11:30:00,21495.997475155786,0.0,21495.997475155786,-6464.297180102807
47,2030-01-01 11:45:00,21686.819266652437,0.0,21686.819266652437,-6640.931095639089
48,2030-01-01 12:00:00,21819.54408159428,0.0,21819.54408159428,-6783.424414075351
49,2030-01-01 12:15:00,21570.39813680971,0.0,21570.39813680971,-6520.833923086608
50,2030-01-01 12:30:00,21229.3377424986,0.0,21229.3377424986,-6282.817553642351
51,2030-01-01 12:45:00,21196.101475205098,0.0,21196.101475205098,-6253.564538245324
52,2030-01-01 13:00:00,21080.044493036654,0.0,21080.044493036654,-5410.808424670342
53,2030-01-01 13:15:00,20681.894362168343,0.0,20681.894362168343,-5150.794545003566
54,2030-01-01 13:30:00,19982.706049066634,0.0,19982.706049066634,-4583.545817358521
55,2030-01-01 13:45:00,19504.275953417593,0.0,19504.275953417593,-4260.439586740928
56,2030-01-01 14:00:00,19288.995553361212,0.0,19288.995553361212,-4148.7956178862805
57,2030-01-01 14:15:00,18609.981282235265,0.0,18609.981282235265,-3534.2132466371913
58,2030-01-01 14:30:00,17718.79784320381,0.0,17718.79784320381,-2587.6858123505863
59,2030-01-01 14:45:00,17231.838631402927,0.0,17231.838631402927,-2172.0559750481734
60,2030-01-01 15:00:00,17029.91973321354,0.0,17029.91973321354,-1797.4526623372658
61,2030-01-01 15:15:00,16390.93012607365,0.0,16390.93012607365,-1208.7450971081798
62,2030-01-01 15:30:00,15473.23145488733,0.0,15473.23145488733,-227.33743956407307
63,2030-01-01 15:45:00,14580.970499250787,691.1989433557173,15272.169442606504,0.0
64,2030-01-01 16:00:00,13851.10480362307,1683.5274737681866,15534.632277391256,0.0
65,2030-01-01 16:15:00,13580.648699610325,2147.7511329099107,15728.399832520236,0.0
66,2030-01-01 16:30:00,13550.694658555363,2418.7321807192056,15969.426839274569,0.0
67,2030-01-01 16:45:00,13485.359844396507,2802.2406792418496,16287.600523638357,0.0
68,2030-01-01 17:00:00,13478.81036891529,3280.2779463460884,16759.08831526138,0.0
69,2030-01-01 17:15:00,13662.648125759397,3230.3899241258096,16893.038049885206,0.0
70,2030-01-01 17:30:00,13968.553815583706,3064.4776565302745,17033.03147211398,0.0
71,2030-01-01 17:45:00,14112.225386613061,3006.6287169958687,17118.85410360893,0.0
72,2030-01-01 18:00:00,14140.352357207772,3019.115522942884,17159.467880150656,0.0
