Datum,Differenz in MWh,Kapazität in MWh,Laden/Einspeisen in MWh
2030-01-01 23:45:00,5510.94631292165,0.0,0.0
2030-01-02 00:00:00,5506.022625575803,0.0,0.0
2030-01-02 00:15:00,5474.537046058455,0.0,0.0
2030-01-02 00:30:00,5256.1388210096975,0.0,0.0
2030-01-02 00:45:00,5041.189655152897,0.0,0.0
2030-01-02 01:00:00,4907.992721074588,0.0,0.0
2030-01-02 01:15:00,4732.0367887030625,0.0,0.0
2030-01-02 01:30:00,4576.740375391511,0.0,0.0
2030-01-02 01:45:00,4485.719311946884,0.0,0.0
2030-01-02 02:00:00,4316.748109484968,0.0,0.0
2030-01-02 02:15:00,4079.9967424045753,0.0,0.0
2030-01-02 02:30:00,3916.0936306037374,0.0,0.0
2030-01-02 02:45:00,3802.2302081651196,0.0,0.0
2030-01-02 03:00:00,3814.1134865454605,0.0,0.0
2030-01-02 03:15:00,3743.7845643140936,0.0,0.0
2030-01-02 03:30:00,3666.418504414405,0.0,0.0
2030-01-02 03:45:00,3603.4500345765155,0.0,0.0
2030-01-02 04:00:00,3571.7055913093373,0.0,0.0
2030-01-02 04:15:00,3595.7653665369435,0.0,0.0
2030-01-02 04:30:00,3627.027454194602,0.0,0.0
2030-01-02 04:45:00,3641.3605473543284,0.0,0.0
2030-01-02 05:00:00,3655.1090555330775,0.0,0.0
2030-01-02 05:15:00,3649.0918123279143,0.0,0.0
2030-01-02 05:30:00,3781.6216668461384,0.0,0.0
2030-01-02 05:45:00,4061.0721490492515,0.0,0.0
2030-01-02 06:00:00,4386.258610854212,0.0,0.0
2030-01-02 06:15:00,4625.991253030535,0.0,0.0
2030-01-02 06:30:00,4916.347203616789,0.0,0.0
2030-01-02 06:45:00,5123.035321082909,0.0,0.0
2030-01-02 07:00:00,5406.807766454574,0.0,0.0
2030-01-02 07:15:00,5623.6803320215495,0.0,0.0
2030-01-02 07:30:00,5893.87730179147,0.0,0.0
2030-01-02 07:45:00,6078.108507746581,0.0,0.0
2030-01-02 08:00:00,6324.027061786252,0.0,0.0
2030-01-02 08:15:00,6439.165482492483,0.0,0.0
2030-01-02 08:30:00,6582.0331502498875,0.0,0.0
