,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
32,2030-01-01 08:00:00,15517.941047771354,0.0,-912.2739221389929,16430.214969910347
33,2030-01-01 08:15:00,15482.569301814556,0.0,-1016.2687456682015,16498.838047482757
34,2030-01-01 08:30:00,15551.416394174857,0.0,-1099.4485593390982,16650.864953513956
35,2030-01-01 08:45:00,15721.778490058872,0.0,-1058.077075480176,16779.85556553905
36,2030-01-01 09:00:00,15944.505304833538,0.0,-872.6179362915373,16817.123241125075
37,2030-01-01 09:15:00,16377.907823238282,0.0,-762.3555798843372,17140.26340312262
38,2030-01-01 09:30:00,16791.389738191425,0.0,-564.6618615212901,17356.051599712715
39,2030-01-01 09:45:00,17394.869171466835,0.0,-132.31238073359782,17527.181552200433
40,2030-01-01 10:00:00,18254.96745822902,-1105.6815153993302,0.0,19360.64897362835
41,2030-01-01 10:15:00,18943.539708923796,-1568.8815056463063,0.0,20512.421214570102
42,2030-01-01 10:30:00,19611.64237455751,-2003.5657943197075,0.0,21615.208168877216
43,2030-01-01 10:45:00,20063.105992535322,-2315.0196425057366,0.0,22378.12563504106
44,2030-01-01 11:00:00,20406.706622221267,-4334.2704937025555,0.0,24740.977115923823
45,2030-01-01 11:15:00,20967.67946156148,-4535.891549656102,0.0,25503.571011217584
46,2030-01-01 11:30:00,21495.997475155786,-4847.717577544132,0.0,26343.715052699918
47,2030-01-01 11:45:00,21686.819266652437,-5022.241534794102,0.0,26709.06080144654
48,2030-01-01 12:00:00,21819.54408159428,-5165.28531753246,0.0,26984.82939912674
49,2030-01-01 12:15:00,21570.39813680971,-4900.502755064008,0.0,26470.900891873716
50,2030-01-01 12:30:00,21229.3377424986,-4672.86269889757,0.0,25902.20044139617
51,2030-01-01 12:45:00,21196.101475205098,-4272.717237844103,0.0,25468.8187130492
52,2030-01-01 13:00:00,21080.044493036654,-2247.308869043536,0.0,23327.35336208019
53,2030-01-01 13:15:00,20681.894362168343,-1977.5992095386828,0.0,22659.493571707026
54,2030-01-01 13:30:00,19982.706049066634,-1448.2021081078128,0.0,21430.908157174446
55,2030-01-01 13:45:00,19504.275953417593,-1232.4992072536443,0.0,20736.775160671237
56,2030-01-01 14:00:00,19288.995553361212,-1205.7646657493679,0.0,20494.76021911058
57,2030-01-01 14:15:00,18609.981282235265,-663.6567844961028,0.0,19273.638066731368
58,2030-01-01 14:30:00,17718.79784320381,222.2812048083797,0.0,17496.51663839543
59,2030-01-01 14:45:00,17231.838631402927,592.2472307263415,0.0,16639.591400676585
60,2030-01-01 15:00:00,17029.91973321354,1056.6702443638678,0.0,15973.249488849673
61,2030-01-01 15:15:00,16390.93012607365,1631.7493256578418,0.0,14759.180800415808
62,2030-01-01 15:30:00,15473.23145488733,2610.0125603498527,0.0,12863.218894537476
63,2030-01-01 15:45:00,14580.970499250787,3512.4520052127154,0.0,11068.518494038071
64,2030-01-01 16:00:00,13851.10480362307,4498.973430291777,0.0,9352.131373331293
65,2030-01-01 16:15:00,13580.648699610325,4968.535084782527,0.0,8612.113614827798
66,2030-01-01 16:30:00,13550.694658555363,5248.315530549447,0.0,8302.379128005916
67,2030-01-01 16:45:00,13485.359844396507,5669.442641266463,0.0,7815.917203130044
68,2030-01-01 17:00:00,13478.81036891529,6223.645264815999,0.0,7255.165104099291
69,2030-01-01 17:15:00,13662.648125759397,6187.625144676344,0.0,7475.022981083053
70,2030-01-01 17:30:00,13968.553815583706,6041.183176721646,0.0,7927.370638862059
71,2030-01-01 17:45:00,14112.225386613061,5056.535622872065,0.0,9055.689763740997
72,2030-01-01 18:00:00,14140.352357207772,0.0,-6058.65462859187,20199.006985799642
73,2030-01-01 18:15:00,14262.672336726004,0.0,-5892.53695364679,20155.209290372793
