Datum,Differenz in MWh,Kapazität in MWh,Laden/Einspeisen in MWh
2030-01-01 13:45:00,-7068.438173975861,325531.8826488828,-7068.438173975861
2030-01-01 14:00:00,-6856.211926390495,332388.0945752733,-6856.211926390495
2030-01-01 14:15:00,-6162.162334634062,338550.25690990733,-6162.162334634062
2030-01-01 14:30:00,-5141.990723829673,343692.247633737,-5141.990723829673
2030-01-01 14:45:00,-4728.21580470279,348420.46343843977,-4728.21580470279
2030-01-01 15:00:00,-4395.270538492516,352815.7339769323,-4395.270538492516
2030-01-01 15:15:00,-3740.8958578736656,356556.62983480596,-3740.8958578736656
2030-01-01 15:30:00,-2675.348749629804,359231.97858443577,-2675.348749629804
2030-01-01 15:45:00,-1714.9359180277515,360946.91450246354,-1714.9359180277515
2030-01-01 16:00:00,-683.6626105967098,361630.5771130602,-683.6626105967098
2030-01-01 16:15:00,-227.8473188996395,361858.42443195987,-227.8473188996395
2030-01-01 16:30:00,-15.722779073852507,361874.14721103373,-15.722779073852507
2030-01-01 16:45:00,345.65825613257584,361528.4889549012,345.65825613257584
2030-01-01 17:00:00,723.309804328821,360805.17915057234,723.309804328821
2030-01-01 17:15:00,569.3696884641595,360235.8094621082,569.3696884641595
2030-01-01 17:30:00,248.17114322653288,359987.6383188816,248.17114322653288
2030-01-01 17:45:00,126.33547468652978,359861.3028441951,126.33547468652978
2030-01-01 18:00:00,91.07343630318792,359770.2294078919,91.07343630318792
2030-01-01 18:15:00,-190.33539007473883,359960.5647979667,-190.33539007473883
2030-01-01 18:30:00,-535.3054404724971,360495.8702384392,-535.3054404724971
2030-01-01 18:45:00,-799.1554923612639,361295.02573080047,-799.1554923612639
2030-01-01 19:00:00,-734.1144906632835,362029.14022146375,-734.1144906632835
2030-01-01 19:15:00,-949.4632213642435,362978.603442828,-949.4632213642435
2030-01-01 19:30:00,-1074.343915368936,364052.94735819695,-1074.343915368936
2030-01-01 19:45:00,-1252.647233450789,365305.59459164774,-1252.647233450789
2030-01-01 20:00:00,-1494.7362988022287,366800.33089045,-1494.7362988022287
2030-01-01 20:15:00,-1568.4840547559852,368368.814945206,-1568.4840547559852
2030-01-01 20:30:00,-1696.9758072809727,370065.79075248697,-1696.9758072809727
2030-01-01 20:45:00,-1851.5701208947994,371917.3608733818,-1851.5701208947994
2030-01-01 21:00:00,-1710.4126216497352,373627.7734950315,-1710.4126216497352
2030-01-01 21:15:00,-1665.0649603340353,375292.83845536556,-1665.0649603340353
2030-01-01 21:30:00,-1502.1460485772805,376794.98450394283,-1502.1460485772805
2030-01-01 21:45:00,-1595.0532786789317,378390.03778262174,-1595.0532786789317
2030-01-01 22:00:00,-1040.4304404241775,379430.46822304593,-1040.4304404241775
2030-01-01 22:15:00,-922.4105864904395,380352.87880953634,-922.4105864904395
