Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
2030-01-01 00:00:00,4475.358795321342,0.0,4475.358795321342,5198.092686676625
2030-01-01 00:15:00,4382.449160591602,0.0,4382.449160591602,5211.5024169526105
2030-01-01 00:30:00,4309.134934571615,0.0,4309.134934571615,5253.318161460527
2030-01-01 00:45:00,4280.358030168512,0.0,4280.358030168512,5237.594647021791
2030-01-01 01:00:00,4272.129718539874,0.0,4272.129718539874,5161.572643759091
2030-01-01 01:15:00,4252.964380694968,0.0,4252.964380694968,5155.986261443752
2030-01-01 01:30:00,4266.292730991081,0.0,4266.292730991081,5245.157829310461
2030-01-01 01:45:00,4277.951158477417,0.0,4277.951158477417,5147.000925825485
2030-01-01 02:00:00,4278.6097506295855,0.0,4278.6097506295855,5041.093304543573
2030-01-01 02:15:00,4266.5070843683425,0.0,4266.5070843683425,5000.695816816216
2030-01-01 02:30:00,4258.105159402436,0.0,4258.105159402436,4954.096771388704
2030-01-01 02:45:00,4259.612579635896,0.0,4259.612579635896,4882.84021345564
2030-01-01 03:00:00,4283.563963609491,0.0,4283.563963609491,4809.641808045353
2030-01-01 03:15:00,4328.41219024237,0.0,4328.41219024237,4636.54740612332
2030-01-01 03:30:00,4340.973732213705,0.0,4340.973732213705,4593.485620041162
2030-01-01 03:45:00,4346.158020166655,0.0,4346.158020166655,4595.550511809091
2030-01-01 04:00:00,4364.292680545701,0.0,4364.292680545701,4542.415483848201
2030-01-01 04:15:00,4363.431020506062,0.0,4363.431020506062,4492.026349536739
2030-01-01 04:30:00,4350.65823604734,0.0,4350.65823604734,4499.549759903835
2030-01-01 04:45:00,4292.678487681544,0.0,4292.678487681544,4583.030519790256
2030-01-01 05:00:00,4186.4376712155445,0.0,4186.4376712155445,4727.771554141034
2030-01-01 05:15:00,4120.404953677207,0.0,4120.404953677207,4793.3033380918205
2030-01-01 05:30:00,4060.491284820309,0.0,4060.491284820309,4871.4685440034955
2030-01-01 05:45:00,4040.1703026571035,0.0,4040.1703026571035,4849.040070774341
2030-01-01 06:00:00,4002.2337654254743,0.0,4002.2337654254743,4797.226897088497
2030-01-01 06:15:00,3935.878212095732,0.0,3935.878212095732,4912.585071979528
2030-01-01 06:30:00,3855.6726603699203,0.0,3855.6726603699203,4932.790323417139
2030-01-01 06:45:00,3796.165295134644,0.0,3796.165295134644,5001.048123259683
2030-01-01 07:00:00,3733.4356440485026,0.0,3733.4356440485026,5225.530557495305
2030-01-01 07:15:00,3705.8270988659433,0.0,3705.8270988659433,5309.890078197283
2030-01-01 07:30:00,3651.1853446146433,0.0,3651.1853446146433,5418.780782333952
2030-01-01 07:45:00,3586.9379302013235,0.0,3586.9379302013235,5542.526690835921
2030-01-01 08:00:00,3508.725120833719,0.0,3508.725120833719,5552.737058082021
2030-01-01 08:15:00,3417.590258534042,0.0,3417.590258534042,5715.37074906102
2030-01-01 08:30:00,3360.693555734684,0.0,3360.693555734684,5904.017821230362
2030-01-01 08:45:00,3312.387954536518,0.0,3312.387954536518,6059.571378466049
2030-01-01 09:00:00,3253.972833824173,0.0,3253.972833824173,6267.486563640818
2030-01-01 09:15:00,3173.2634906702838,0.0,3173.2634906702838,6573.4442583686505
2030-01-01 09:30:00,3097.8203664462717,0.0,3097.8203664462717,6816.883492406115
2030-01-01 09:45:00,3036.8420136096765,0.0,3036.8420136096765,7008.60949777338
2030-01-01 10:00:00,2959.5251904287775,0.0,2959.5251904287775,7017.423255099968
2030-01-01 10:15:00,2886.6998974966023,0.0,2886.6998974966023,7260.744423122504
