Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
2030-08-07 20:45:00,3687.6764337787195,0.0,3687.6764337787195,9133.625480376764
2030-08-07 21:00:00,3863.847884776953,0.0,3863.847884776953,8945.453347978231
2030-08-07 21:15:00,3942.3611983541464,0.0,3942.3611983541464,8755.689804565527
2030-08-07 21:30:00,4082.0586377698905,0.0,4082.0586377698905,8507.742740174757
2030-08-07 21:45:00,4203.098418527872,0.0,4203.098418527872,8199.70336087641
2030-08-07 22:00:00,4389.837167321313,0.0,4389.837167321313,7755.4635994373075
2030-08-07 22:15:00,4530.03823671716,0.0,4530.03823671716,7364.762045805876
2030-08-07 22:30:00,4592.232024316232,0.0,4592.232024316232,7115.317810091634
2030-08-07 22:45:00,4626.518906206626,0.0,4626.518906206626,6814.53119665311
2030-08-07 23:00:00,4643.390396353177,0.0,4643.390396353177,6423.408601041564
2030-08-07 23:15:00,4693.509411482035,0.0,4693.509411482035,6207.789839403809
2030-08-07 23:30:00,4736.887938065609,0.0,4736.887938065609,6033.161756491134
2030-08-07 23:45:00,4757.234371751807,0.0,4757.234371751807,5832.065120000132
2030-08-08 00:00:00,4803.802110442968,0.0,4803.802110442968,5653.998107505886
2030-08-08 00:15:00,4832.69241489868,0.0,4832.69241489868,5475.857744082554
2030-08-08 00:30:00,4836.989412833724,0.0,4836.989412833724,5339.560724365738
2030-08-08 00:45:00,4836.395998136015,0.0,4836.395998136015,5287.404475974976
2030-08-08 01:00:00,4832.344072528458,0.0,4832.344072528458,5252.70620533424
2030-08-08 01:15:00,4919.610534957931,0.0,4919.610534957931,5113.689221803709
2030-08-08 01:30:00,5004.560208292461,0.0,5004.560208292461,4972.989229047888
2030-08-08 01:45:00,5091.776213196217,0.0,5091.776213196217,4778.023087560088
2030-08-08 02:00:00,5186.032433229913,0.0,5186.032433229913,4645.0168292639355
2030-08-08 02:15:00,5318.689420761703,0.0,5318.689420761703,4411.360261825682
2030-08-08 02:30:00,5385.180824580038,0.0,5385.180824580038,4332.370357794321
2030-08-08 02:45:00,5548.030922701206,0.0,5548.030922701206,4220.021040400867
2030-08-08 03:00:00,5696.094271880091,0.0,5696.094271880091,4088.458144180029
2030-08-08 03:15:00,5770.0264560152,0.0,5770.0264560152,3999.7766237165624
2030-08-08 03:30:00,5900.442858376718,0.0,5900.442858376718,3881.36204301455
2030-08-08 03:45:00,5966.58110132182,0.0,5966.58110132182,3798.724725163337
2030-08-08 04:00:00,6104.855362649979,0.0,6104.855362649979,3791.9508325346096
2030-08-08 04:15:00,6319.161181359148,0.0,6319.161181359148,3602.8952771252334
2030-08-08 04:30:00,6402.654734641761,0.0,6402.654734641761,3497.40196297273
2030-08-08 04:45:00,6531.542304565478,0.0,6531.542304565478,3529.514709754568
2030-08-08 05:00:00,6771.242993894458,0.0,6771.242993894458,3481.0635757563114
2030-08-08 05:15:00,6748.2014111622075,0.0,6748.2014111622075,3660.855219613125
2030-08-08 05:30:00,6740.627446779809,0.0,6740.627446779809,3884.679669311442
2030-08-08 05:45:00,6717.478668391106,0.0,6717.478668391106,4155.078345545235
2030-08-08 06:00:00,6648.673212439465,0.0,6648.673212439465,4851.383539936794
2030-08-08 06:15:00,6724.838755517542,0.0,6724.838755517542,5179.967958022565
2030-08-08 06:30:00,6686.065034783631,0.0,6686.065034783631,5441.741804037989
2030-08-08 06:45:00,6640.16097132277,0.0,6640.16097132277,5813.6455564184835
2030-08-08 07:00:00,6679.568647107268,0.0,6679.568647107268,6202.736811471945
2030-08-08 07:15:00,6678.092454551883,0.0,6678.092454551883,6474.212880429648
2030-08-08 07:30:00,6791.539566438895,0.0,6791.539566438895,6628.7651520741465
2030-08-08 07:45:00,6801.9033540420205,0.0,6801.9033540420205,6786.651012658331
2030-08-08 08:00:00,6981.616758907584,0.0,6981.616758907584,6976.686986421796
2030-08-08 08:15:00,7180.201104232108,0.0,7180.201104232108,6926.101593903268
2030-08-08 08:30:00,7115.608845302521,0.0,7115.608845302521,7111.693343108834
2030-08-08 08:45:00,7093.965476527145,0.0,7093.965476527145,7227.5856104052755
2030-08-08 09:00:00,7145.107369837007,0.0,7145.107369837007,6969.4422518679585
2030-08-08 09:15:00,7311.871389210352,0.0,7311.871389210352,6911.426823440811
2030-08-08 09:30:00,7318.1259058069,0.0,7318.1259058069,7013.671533935933
2030-08-08 09:45:00,7418.70944115895,0.0,7418.70944115895,7082.086681384564
2030-08-08 10:00:00,7570.7398870038405,0.0,7570.7398870038405,6837.054528730868
2030-08-08 10:15:00,7669.929710464778,0.0,7669.929710464778,6807.8640968853215
2030-08-08 10:30:00,7729.154673831411,0.0,7729.154673831411,6752.389394765846
2030-08-08 10:45:00,7756.699312238026,0.0,7756.699312238026,6749.594247771423
2030-08-08 11:00:00,7874.174338504942,0.0,7874.174338504942,6691.618437655
2030-08-08 11:15:00,8001.793568521055,0.0,8001.793568521055,6630.249014382002
2030-08-08 11:30:00,8040.527664149826,0.0,8040.527664149826,6656.514597387339
2030-08-08 11:45:00,8081.443734753765,0.0,8081.443734753765,6569.098283797614
2030-08-08 12:00:00,8136.11064328853,0.0,8136.11064328853,6598.931128611379
