,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
15152,2030-06-07 21:00:00,5957.937892408557,0.0,-10000.0,15957.937892408558
15153,2030-06-07 21:15:00,6002.749054707798,0.0,-10000.0,16002.749054707798
15154,2030-06-07 21:30:00,6096.036696285146,0.0,-10000.0,16096.036696285146
15155,2030-06-07 21:45:00,6063.11333024719,0.0,-10000.0,16063.11333024719
15156,2030-06-07 22:00:00,6110.160921626446,0.0,-10000.0,16110.160921626446
15157,2030-06-07 22:15:00,6079.369165157342,0.0,-10000.0,16079.369165157343
15158,2030-06-07 22:30:00,6070.474745364074,0.0,-10000.0,16070.474745364074
15159,2030-06-07 22:45:00,6082.502988987178,0.0,-10000.0,16082.502988987177
15160,2030-06-07 23:00:00,6031.518800749692,0.0,-10000.0,16031.51880074969
15161,2030-06-07 23:15:00,5981.107177275488,0.0,-9776.929548320431,15758.036725595919
15162,2030-06-07 23:30:00,5972.849305750189,0.0,-9560.051185595205,15532.900491345394
15163,2030-06-07 23:45:00,5944.090827329254,0.0,-9239.139511512516,15183.230338841771
15164,2030-06-08 00:00:00,5958.883821286229,0.0,-8995.905797629457,14954.789618915685
15165,2030-06-08 00:15:00,5894.343819950169,0.0,-8869.044608729317,14763.388428679486
15166,2030-06-08 00:30:00,5822.995461246688,0.0,-8702.509022762033,14525.504484008721
15167,2030-06-08 00:45:00,5773.099955167399,0.0,-8567.13701071436,14340.236965881759
15168,2030-06-08 01:00:00,5759.467803193952,0.0,-8381.11051737409,14140.578320568042
15169,2030-06-08 01:15:00,5680.975119556595,0.0,-8319.54195546364,14000.517075020234
15170,2030-06-08 01:30:00,5630.534843683305,0.0,-8228.31176972326,13858.846613406564
15171,2030-06-08 01:45:00,5562.241556759753,0.0,-8206.324131673013,13768.565688432765
15172,2030-06-08 02:00:00,5542.874818236727,0.0,-8067.483895662854,13610.35871389958
15173,2030-06-08 02:15:00,5490.337177659196,0.0,-8067.699714818034,13558.03689247723
15174,2030-06-08 02:30:00,5461.535884683253,0.0,-8047.437183760634,13508.973068443887
15175,2030-06-08 02:45:00,5438.200355152288,0.0,-8075.65104688767,13513.851402039958
15176,2030-06-08 03:00:00,5393.390143155241,0.0,-8163.494990461554,13556.885133616795
15177,2030-06-08 03:15:00,5324.323876059029,0.0,-8132.525845705338,13456.849721764367
15178,2030-06-08 03:30:00,5301.750916440053,0.0,-8102.961985355221,13404.712901795274
15179,2030-06-08 03:45:00,5268.335633616043,0.0,-8160.40705157533,13428.742685191373
15180,2030-06-08 04:00:00,5277.126119381624,0.0,-8213.021052257845,13490.14717163947
15181,2030-06-08 04:15:00,5317.420939747025,0.0,-8128.434454611949,13445.855394358974
15182,2030-06-08 04:30:00,5392.088243921342,0.0,-8051.029722264571,13443.117966185913
15183,2030-06-08 04:45:00,5575.774841664426,0.0,-7880.270158616477,13456.045000280903
15184,2030-06-08 05:00:00,5844.543255405007,0.0,-7680.152739322387,13524.695994727394
15185,2030-06-08 05:15:00,6128.2089682168335,0.0,-7252.498835540682,13380.707803757516
15186,2030-06-08 05:30:00,6476.222924146521,0.0,-7011.395166970626,13487.618091117147
15187,2030-06-08 05:45:00,6871.890894514723,0.0,-6754.186958517152,13626.077853031875
15188,2030-06-08 06:00:00,7401.531970986818,0.0,-6552.5273417220415,13954.05931270886
15189,2030-06-08 06:15:00,7970.774608177738,0.0,-6206.198018767715,14176.972626945453
15190,2030-06-08 06:30:00,8518.047381197815,0.0,-5949.577095250166,14467.624476447982
15191,2030-06-08 06:45:00,9194.022784213508,0.0,-5450.506547652221,14644.52933186573
15192,2030-06-08 07:00:00,9974.543024251421,0.0,-4963.864057218987,14938.407081470408
15193,2030-06-08 07:15:00,10689.647154983764,0.0,-4436.37593450553,15126.023089489294
15194,2030-06-08 07:30:00,11417.297362858864,0.0,-3973.602794219867,15390.900157078731
15195,2030-06-08 07:45:00,12179.915819062551,0.0,-3518.402337448533,15698.318156511084
15196,2030-06-08 08:00:00,13020.932990398998,0.0,-2992.8134606321855,16013.746451031184
15197,2030-06-08 08:15:00,13742.020181120139,0.0,-2443.129040837037,16185.149221957176
15198,2030-06-08 08:30:00,14491.8573566812,0.0,-1880.675219543651,16372.53257622485
15199,2030-06-08 08:45:00,15184.4055506977,0.0,-1425.4950609110474,16609.900611608748
15200,2030-06-08 09:00:00,15925.495285047393,0.0,-689.4529484675586,16614.94823351495
15201,2030-06-08 09:15:00,16607.132034551447,0.0,-42.13996648147804,16649.272001032925
15202,2030-06-08 09:30:00,17189.313536908405,-364.82705816889575,0.0,16824.48647873951
15203,2030-06-08 09:45:00,17733.863466170285,-764.275407191908,0.0,16969.588058978377
15204,2030-06-08 10:00:00,18132.56726095655,-1037.3494058744654,0.0,17095.217855082086
15205,2030-06-08 10:15:00,18502.73393154438,-1344.674275314428,0.0,17158.05965622995
15206,2030-06-08 10:30:00,18841.972405120585,-1487.9698471101256,0.0,17354.00255801046
15207,2030-06-08 10:45:00,19080.599793415135,-1604.1603805482337,0.0,17476.4394128669
15208,2030-06-08 11:00:00,19248.594338164938,-1641.8217736854094,0.0,17606.77256447953
15209,2030-06-08 11:15:00,19276.128135228417,-1603.9873258320986,0.0,17672.14080939632
15210,2030-06-08 11:30:00,19214.41247314313,-1547.3228979941523,0.0,17667.089575148977
15211,2030-06-08 11:45:00,19152.436654747187,-1576.5347420567268,0.0,17575.90191269046
15212,2030-06-08 12:00:00,19156.01668230178,-1494.0597178815588,0.0,17661.95696442022
15213,2030-06-08 12:15:00,19060.45914183312,-1578.559965755605,0.0,17481.899176077513
15214,2030-06-08 12:30:00,18939.75136807747,-1432.5431265380212,0.0,17507.208241539447
15215,2030-06-08 12:45:00,18795.20786601712,-1353.3589089070229,0.0,17441.848957110098
15216,2030-06-08 13:00:00,18679.10065389354,-1248.0421226346261,0.0,17431.058531258914
15217,2030-06-08 13:15:00,18518.67318166462,-1186.3883364791145,0.0,17332.284845185506
15218,2030-06-08 13:30:00,18300.324110021837,-1013.2786812698141,0.0,17287.045428752022
