Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
2030-01-01 08:45:00,17958.455654913476,-4995.082627479667,12963.373027433809,0.0
2030-01-01 09:00:00,18159.999257028787,-4989.838340055745,13170.160916973042,0.0
2030-01-01 09:15:00,18583.256027283853,-5101.533453854683,13481.72257342917,0.0
2030-01-01 09:30:00,18994.073435725306,-5279.9808016133975,13714.092634111908,0.0
2030-01-01 09:45:00,19625.205252230764,-5730.2640665028575,13894.941185727906,0.0
2030-01-01 10:00:00,20538.580722420586,-6738.394026729959,13800.186695690627,0.0
2030-01-01 10:15:00,21211.07183319315,-7175.058110944641,14036.013722248508,0.0
2030-01-01 10:30:00,21880.430262601287,-7551.186251672469,14329.244010928818,0.0
2030-01-01 10:45:00,22303.863958180184,-7747.780978833009,14556.082979347175,0.0
2030-01-01 11:00:00,22649.43736841937,-7913.2022636189195,14736.235104800451,0.0
2030-01-01 11:15:00,23235.520098222554,-8152.804050585251,15082.716047637303,0.0
2030-01-01 11:30:00,23829.213680102977,-8528.651746569116,15300.561933533862,0.0
2030-01-01 11:45:00,24091.516554381044,-8758.460696473296,15333.055857907748,0.0
2030-01-01 12:00:00,24277.076499174836,-8938.839045215405,15338.237453959431,0.0
2030-01-01 12:15:00,24086.30818059231,-8713.494028005562,15372.814152586749,0.0
2030-01-01 12:30:00,23767.13030791709,-8482.846961966847,15284.283345950244,0.0
2030-01-01 12:45:00,23790.454470760385,-8637.922581775902,15152.531888984484,0.0
2030-01-01 13:00:00,23704.927663539176,-8508.480011132306,15196.44765240687,0.0
2030-01-01 13:15:00,23296.02831316378,-8174.6234343010965,15121.404878862684,0.0
2030-01-01 13:30:00,22575.00726519362,-7517.577194925128,15057.430070268492,0.0
2030-01-01 13:45:00,22033.192901808885,-7068.438173975861,14964.754727833024,0.0
2030-01-01 14:00:00,21808.171830098392,-6856.211926390495,14951.959903707897,0.0
2030-01-01 14:15:00,21074.35493321855,-6162.162334634062,14912.192598584488,0.0
2030-01-01 14:30:00,20138.209780262372,-5141.990723829673,14996.2190564327,0.0
2030-01-01 14:45:00,19668.069722616165,-4728.21580470279,14939.853917913375,0.0
2030-01-01 15:00:00,19490.39106842125,-4395.270538492516,15095.120529928734,0.0
2030-01-01 15:15:00,18788.640216316824,-3740.8958578736656,15047.744358443158,0.0
2030-01-01 15:30:00,17804.351562171894,-2675.348749629804,15129.00281254209,0.0
2030-01-01 15:45:00,16879.901465643114,-1714.9359180277515,15164.965547615362,0.0
2030-01-01 16:00:00,16113.16850358356,-683.6626105967098,15429.50589298685,0.0
