,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
11560,2030-05-01 11:00:00,18059.143490132206,-901.8199379307152,17157.32355220149,0.0
11561,2030-05-01 11:15:00,18148.755289937326,-1034.3959906126438,17114.359299324682,0.0
11562,2030-05-01 11:30:00,18303.21131348338,-1098.5885854184417,17204.62272806494,0.0
11563,2030-05-01 11:45:00,18481.307774244833,-1263.4627182423828,17217.84505600245,0.0
11564,2030-05-01 12:00:00,18542.272327566683,-1257.089449154304,17285.18287841238,0.0
11565,2030-05-01 12:15:00,18599.91928380835,-1555.3059810446866,17044.613302763664,0.0
11566,2030-05-01 12:30:00,18593.20504900675,-1763.0166571836962,16830.188391823052,0.0
11567,2030-05-01 12:45:00,18508.644645735956,-1736.0437817524871,16772.60086398347,0.0
11568,2030-05-01 13:00:00,18354.824113549275,-1620.1800240766643,16734.64408947261,0.0
11569,2030-05-01 13:15:00,18162.172593407326,-1616.955020809135,16545.21757259819,0.0
11570,2030-05-01 13:30:00,17872.105232018777,-1396.7102344784907,16475.394997540287,0.0
11571,2030-05-01 13:45:00,17567.95681367936,-1225.57315840089,16342.38365527847,0.0
11572,2030-05-01 14:00:00,17226.54651856443,-971.3890509116336,16255.157467652798,0.0
11573,2030-05-01 14:15:00,16796.927195001226,-592.241194346625,16204.686000654601,0.0
11574,2030-05-01 14:30:00,16328.76023626164,-161.1096927259805,16167.65054353566,0.0
11575,2030-05-01 14:45:00,15949.774016346235,143.11000081079328,16092.884017157028,0.0
11576,2030-05-01 15:00:00,15405.394240023019,715.7526415220873,16121.146881545106,0.0
11577,2030-05-01 15:15:00,14827.731213936999,1224.8488997839195,16052.580113720918,0.0
11578,2030-05-01 15:30:00,14261.044253482207,1770.0194235776034,16031.06367705981,0.0
11579,2030-05-01 15:45:00,13646.09190667059,2470.153730471038,16116.245637141628,0.0
11580,2030-05-01 16:00:00,13041.66704131138,3121.0910511912753,16162.758092502656,0.0
11581,2030-05-01 16:15:00,12372.324209041473,3804.5557684559644,16176.879977497438,0.0
11582,2030-05-01 16:30:00,11695.309891995663,4496.97125872009,16192.281150715753,0.0
11583,2030-05-01 16:45:00,10997.595275865317,3646.9148365884557,14644.510112453772,1474.0727766561831
11584,2030-05-01 17:00:00,10341.257672330154,0.0,10341.257672330154,5847.7597385731915
11585,2030-05-01 17:15:00,9607.82487351771,0.0,9607.82487351771,6678.985218592643
11586,2030-05-01 17:30:00,8960.29299476787,0.0,8960.29299476787,7338.821911327665
