Uhrzeit;Relativer Bedarf;Normierter Bedarf;Strombedarf (kWh)
00:00;0.455932292;0.01620506385431122;136900.37944122122
00:15;0.441027322;0.015675301003917213;132424.94288109263
00:30;0.418747051;0.014883400055944091;125734.96367261569
00:45;0.399087989;0.014184663948377788;119832.04103589557
01:00;0.379628832;0.01349303300389521;113989.14281690674
01:15;0.349940332;0.012437823608376634;105074.7338435658
01:30;0.320451738;0.01138971941148448;96220.34958822088
01:45;0.290963145;0.010341615250135024;87365.96563314069
02:00;0.256887436;0.009130472609187963;77134.23260241991
02:15;0.224777634;0.007989203607431687;67492.79207558288
02:30;0.187425415;0.006661604960404473;56277.238705496995
02:45;0.155315613;0.005520335958648198;46635.79817865998
03:00;0.122377169;0.004349614784369859;36745.545698356575
03:15;0.104857353;0.0037269132517576808;31484.963150848886
03:30;0.094372519;0.0033542539612158007;28336.737464351085
03:45;0.08313539;0.002954856076531352;24962.62413453686
04:00;0.070054797;0.0024899365072518494;21034.983613263626
04:15;0.065694599;0.002334963305644449;19725.77000608431
04:30;0.061334401;0.0021799901040370486;18416.556398904988
04:45;0.059154302;0.0021025035032333486;17761.94959531533
05:00;0.059154302;0.0021025035032333486;17761.94959531533
05:15;0.056974203;0.0020250169024296485;17107.342791725674
05:30;0.054794105;0.0019475303371686466;16452.736288400727
05:45;0.052614006;0.0018700437363649463;15798.129484811068
06:00;0.052614006;0.0018700437363649463;15798.129484811068
06:15;0.050433907;0.0017925571355612462;15143.522681221408
06:30;0.050433907;0.0017925571355612462;15143.522681221408
06:45;0.050433907;0.0017925571355612462;15143.522681221408
07:00;0.050433907;0.0017925571355612462;15143.522681221408
07:15;0.050433907;0.0017925571355612462;15143.522681221408
07:30;0.048253808;0.0017150705347575461;14488.915877631749
07:45;0.050433907;0.0017925571355612462;15143.522681221408
08:00;0.050433907;0.0017925571355612462;15143.522681221408
08:15;0.054794105;0.0019475303371686466;16452.736288400727
08:30;0.061334401;0.0021799901040370486;18416.556398904988
08:45;0.065694599;0.002334963305644449;19725.77000608431
09:00;0.067874698;0.002412449906448149;20380.376809673962
09:15;0.074414994;0.0026449096733165514;22344.196920178227
09:30;0.078775192;0.0027998828749239515;23653.410527357544
09:45;0.083232384;0.0029583035050005885;24991.748010244974
10:00;0.086508894;0.0030747595110807396;25975.56834961009
10:15;0.100270238;0.003563874807702771;30107.614375473007
10:30;0.107478561;0.0038200780566218016;32272.01942234098
10:45;0.125171717;0.004448940560540014;37584.64985544204
11:00;0.13238004;0.004705143809459045;39749.05490231002
11:15;0.153349707;0.005450462355000107;46045.505975040905
11:30;0.169732259;0.006032742456486259;50964.60827239592
11:45;0.189391322;0.006731478599595261;56867.53120938077
12:00;0.209581123;0.0074490786032616755;62929.816040354635
12:15;0.227021913;0.008068971338605879;68166.66986854246
12:30;0.243781395;0.00866464854932466;73198.95094469473
12:45;0.262129853;0.009316802254458903;78708.34544566882
13:00;0.294894957;0.010481362457431207;88546.55004037883
13:15;0.312588113;0.011110224961349419;93859.1804734799
13:30;0.348629728;0.012391241205944573;104681.20570781975
13:45;0.377448734;0.013415546438634207;113334.5363135818
14:00;0.407970117;0.014500358743257915;122499.03066304287
14:15;0.405790018;0.014422872142454213;121844.4238594532
14:30;0.399249722;0.01419041237558581;119880.60374894892
14:45;0.394889524;0.014035439173978412;118571.39014176962
15:00;0.388349228;0.013802979407110009;116607.57003126536
15:15;0.403675103;0.014347702356889999;121209.38951100672
15:30;0.411538728;0.014627196807025062;123570.55862574774
15:45;0.425300072;0.01511631210364709;127702.60465161063
16:00;0.437095509;0.015535553761078335;131244.35817358978
16:15;0.447580343;0.015908213051620216;134392.5838600876
16:30;0.457409874;0.016257581105403367;137344.04517844765
16:45;0.467894707;0.01663024036040255;140492.27056468074
17:00;0.477724239;0.016979608449728397;143443.73218330552
17:15;0.505246926;0.01795783900742976;151707.82393476664
17:30;0.53801203;0.019122399210402066;161546.02852947667
17:45;0.566845322;0.02014721220607819;170203.64871694858
18:00;0.599818816;0.021319179151928446;180104.42547549153
18:15;0.604197541;0.021474810853105406;181419.20208703447
18:30;0.617303583;0.021940634948511405;185354.48404502438
18:45;0.627788416;0.022313294203510588;188502.70943125745
19:00;0.636962645;0.02263937105607771;191257.4066817445
19:15;0.627788416;0.022313294203510588;188502.70943125745
19:30;0.615337676;0.021870761309320617;184764.19154114058
19:45;0.604197541;0.021474810853105406;181419.20208703447
20:00;0.589125593;0.020939113154051312;176893.6279254255
20:15;0.56619002;0.02012392100486216;170006.88464907554
20:30;0.541288541;0.019238855252024917;162529.8491691065
20:45;0.516387062;0.018353789499187673;155052.81368913746
21:00;0.492140885;0.01749201494756646;147772.54227704144
21:15;0.472481822;0.016793278804457457;141869.6193400566
21:30;0.44364853;0.015768465808781336;133211.99915258473
21:45;0.422678864;0.015023147298782971;126915.54838011855
22:00;0.403675103;0.014347702356889999;121209.38951100672
22:15;0.38073953;0.013532510207700847;114322.64623465676
22:30;0.360425166;0.012810482898918514;108222.95953006361
22:45;0.342076707;0.012158329158241572;102713.5647288248
23:00;0.322946262;0.011478381525169798;96969.36712463445
23:15;0.35619277;0.012660052125226503;106952.1203539135
23:30;0.389439277;0.013841722689740509;116934.87328292782
23:45;0.422685785;0.015023393289797215;126917.62651220689
