Uhrzeit;Relativer Bedarf;Normierter Bedarf;Strombedarf (kWh)
00:00;0.248822902;0.0071826555881808725;60679.07440895201
00:15;0.216914009;0.006261556337360643;52897.62793802271
00:30;0.183493603;0.00529682494010697;44747.57709402368
00:45;0.151383801;0.004369926142139083;36917.13604879098
01:00;0.119929301;0.0034619436438140887;29246.49990294142
01:15;0.104202051;0.0030079523946515917;25411.18183001665
01:30;0.089785405;0.0025917937447748796;21895.473555858185
01:45;0.075368759;0.0021756350948981674;18379.765281699718
02:00;0.058330905;0.0016838112464498851;14224.837410008631
02:15;0.055709696;0.0016081460190117774;13585.617568611497
02:30;0.052433186;0.0015135645207973144;12786.593071695712
02:45;0.049811978;0.0014378993222257438;12147.373474163083
03:00;0.048501373;0.0014000666940734213;11827.763431532265
03:15;0.049156676;0.0014189830225828514;11987.568574779929
03:30;0.049156676;0.0014189830225828514;11987.568574779929
03:45;0.049156676;0.0014189830225828514;11987.568574779929
04:00;0.048501373;0.0014000666940734213;11827.763431532265
04:15;0.047846071;0.0013811503944305286;11667.958532149107
04:30;0.047846071;0.0013811503944305286;11667.958532149107
04:45;0.048501373;0.0014000666940734213;11827.763431532265
05:00;0.047190769;0.001362234094787636;11508.153632765949
05:15;0.047190769;0.001362234094787636;11508.153632765949
05:30;0.047190769;0.001362234094787636;11508.153632765949
05:45;0.047190769;0.001362234094787636;11508.153632765949
06:00;0.047846071;0.0013811503944305286;11667.958532149107
06:15;0.048501373;0.0014000666940734213;11827.763431532265
06:30;0.048501373;0.0014000666940734213;11827.763431532265
06:45;0.048501373;0.0014000666940734213;11827.763431532265
07:00;0.048501373;0.0014000666940734213;11827.763431532265
07:15;0.049156676;0.0014189830225828514;11987.568574779929
07:30;0.052433186;0.0015135645207973144;12786.593071695712
07:45;0.055709696;0.0016081460190117774;13585.617568611497
08:00;0.057020301;0.0016459786471640999;13905.227611242317
08:15;0.064883926;0.0018729742717453484;15822.886647704705
08:30;0.071436946;0.0020621372681742744;17420.93564153627
08:45;0.079300571;0.0022891328927555233;19338.594677998663
09:00;0.087819499;0.0025350448458462014;21416.05885770871
09:15;0.096993728;0.0027998730697132357;23653.327692937415
09:30;0.106823259;0.003083617593223162;26050.401427549274
09:45;0.11665279;0.0033673621167330885;28447.475162161132
10:00;0.128448228;0.00370785556803823;31323.96383878697
10:15;0.144175478;0.004161846817200727;35159.28191171174
10:30;0.162523936;0.004691503264934795;39633.81958216915
10:45;0.178906488;0.005164410813740185;43628.942554477086
11:00;0.197254947;0.00569406729034079;48103.480468798996
11:15;0.209050384;0.006034560712779394;50979.96890156032
11:30;0.22346703;0.006450719362656106;54495.677175718796
11:45;0.23591777;0.00681012911360414;57531.97075172777
12:00;0.245747301;0.007093873637114067;59929.04448633964
12:15;0.264095759;0.007623530084848134;64403.582156797034
12:30;0.281133613;0.008115353933296416;68558.51002848813
12:45;0.29882677;0.00862609411025413;72873.24304342689
13:00;0.316519926;0.009136834258345303;77187.97581450113
13:15;0.332902478;0.009609741807150693;81183.09878680907
13:30;0.351906239;0.010158314583394192;85817.44160051414
13:45;0.370254697;0.010687971031128259;90291.97927097154
14:00;0.387292551;0.011179794879576542;94446.90714266263
14:15;0.416781145;0.012031028478972859;101638.12859036273
14:30;0.448235645;0.012939010977297853;109308.76473621227
14:45;0.481000749;0.013884826074908633;117299.01068082813
15:00;0.513765853;0.014830641172519412;125289.256625444
15:15;0.56619002;0.016343945346016582;138073.6502831481
15:30;0.627133114;0.018103161443737893;152935.50787669772
15:45;0.685454999;0.019786712314021095;167158.1456288502
16:00;0.744432187;0.02148917951281373;181540.5885242504
16:15;0.792269239;0.022870069559944115;193206.3476424079
16:30;0.842072198;0.024307708534869712;205351.52170257934
16:45;0.89318576;0.02578318008021456;217816.30531765262
17:00;0.941022812;0.027164070127344946;229482.06443581008
17:15;0.958715969;0.027674810304302657;233796.79745074885
17:30;0.970511406;0.02801530372674126;236673.28588351017
17:45;0.98427275;0.028412546076975083;240029.18925828554
18:00;0.994757583;0.0287152069001279;242586.06789228052
18:15;0.983617448;0.028393629777332185;239869.3843589023
18:30;0.970511406;0.02801530372674126;236673.28588351017
18:45;0.95609476;0.02759914507686455;233157.57760935175
19:00;0.939056906;0.02710732122841627;229002.64973766066
19:15;0.897772875;0.025915594206581346;218934.93985719924
19:30;0.854522937;0.024667118256951212;208387.81503472384
19:45;0.807341187;0.023305144509463718;196881.8608159495
20:00;0.76409125;0.022056668588700118;186334.73623733863
20:15;0.733292052;0.02116760239001802;178823.90499087225
20:30;0.705769364;0.020373117689550378;172112.09824132163
20:45;0.678901979;0.01959754931759217;165560.09663501868
21:00;0.651379291;0.018803064617124533;158848.28988546808
21:15;0.627133114;0.018103161443737893;152935.50787669772
21:30;0.603542239;0.017422174569994148;147182.53076731056
21:45;0.575364249;0.016608773569883616;140310.9191183768
22:00;0.551118072;0.015908870396496976;134398.13710960647
22:15;0.532114312;0.015360297649120018;129763.79453976592
22:30;0.511144645;0.01475497597394784;124650.03702791136
22:45;0.49083028;0.01416857059841856;119696.08441543998
23:00;0.473373083;0.013664641769608321;115438.89366965111
23:15;0.417235537;0.012044145202601556;101748.93867157795
23:30;0.361097992;0.010423648664461329;88058.98391736932
23:45;0.304960447;0.008803152126321101;74369.02916316067
