,Datum,Photovoltaik,Wind Onshore,Wind Offshore,Wasserkraft,Biomasse,Sonstige Erneuerbare
14960,2030-06-05 20:00:00,150.93779384904875,1943.277848615973,602.9951961452036,683.15043,1058.54969,24.77254
14961,2030-06-05 20:15:00,43.60425155639186,2054.413824995101,601.1511741386433,667.90579,1054.262135,24.77254
14962,2030-06-05 20:30:00,7.546889692452439,2132.036513596931,621.4354162108061,626.2212275,1050.92737,24.77254
14963,2030-06-05 20:45:00,0.0,2211.6305720680143,618.3620461998725,602.16328,1047.592605,24.77254
14964,2030-06-05 21:00:00,0.0,2252.7829180886665,616.5180241933123,610.2619950000001,1031.395175,24.77254
14965,2030-06-05 21:15:00,0.0,2333.855503961689,604.2245441495771,591.206195,1022.1054725,24.77254
14966,2030-06-05 21:30:00,0.0,2417.3923021712776,594.3897601145891,553.3327925,1019.9616950000001,24.77254
14967,2030-06-05 21:45:00,0.0,2413.203141199115,583.3256280752275,555.2383725,1019.7234975,25.0107375
14968,2030-06-05 22:00:00,0.0,2388.8074390671118,601.1511741386433,579.7727150000001,1001.38229,25.0107375
14969,2030-06-05 22:15:00,0.0,2374.7614287486854,663.8479223616921,557.1439525000001,997.57113,25.0107375
14970,2030-06-05 22:30:00,0.0,2343.21951084064,710.5631465278852,554.047385,993.5217725,25.0107375
14971,2030-06-05 22:45:00,0.0,2317.3452813066965,816.9017489061933,544.04309,993.7599700000001,25.0107375
14972,2030-06-05 23:00:00,0.0,2257.7113427617987,950.9006813829053,612.8821675,970.89301,25.248935
14973,2030-06-05 23:15:00,0.0,2183.538551431161,1209.063762301341,558.33494,968.0346400000001,25.248935
14974,2030-06-05 23:30:00,0.0,2086.695006604116,1381.1724829136315,564.05168,963.2706900000001,25.248935
14975,2030-06-05 23:45:00,0.0,1999.708311123335,1547.1344635040548,545.94867,931.352225,25.248935
14976,2030-06-06 00:00:00,0.0,1923.8719310539502,1700.6684131648592,531.8950175,931.352225,25.248935
14977,2030-06-06 00:15:00,0.0,1833.6904342857963,1852.4260352933711,532.8478075,947.3114575000001,25.248935
14978,2030-06-06 00:30:00,0.0,1753.118441271626,2037.9758404869356,550.4744225000001,961.6033075,25.248935
14979,2030-06-06 00:45:00,0.0,1686.837505122354,2230.8984856219668,539.27914,965.4144675,25.248935
14980,2030-06-06 01:00:00,0.0,1648.3994901064198,2369.7536378529126,536.6589675,961.6033075,25.248935
14981,2030-06-06 01:15:00,0.0,1588.5248897931372,2487.104673587916,537.6117575000001,964.4616775000001,25.248935
14982,2030-06-06 01:30:00,0.0,1505.242523925279,2549.1594097619227,555.000175,963.9852825,25.248935
