year,predicted_capacity
2021,55890.89999818802
2022,58479.2999997139
2023,60547.70000064373
2024,62096.100000977516
2025,63124.500000834465
2026,63632.90000009537
2027,63621.29999887943
2028,63089.69999706745
2029,62038.099994659424
2030,60466.49999201298
