year,predicted_capacity
2019,52996.17857122421
2020,54581.821428477764
2021,56310.42857128382
2022,58181.999999940395
2023,60196.535714387894
2024,62354.035714387894
2025,64654.500000178814
2026,67097.92857176065
2027,69684.3214289546
2028,72413.67857193947
2029,75286.00000071526
2030,78301.28571504354
