Uhrzeit,Relative Bedarf,Normierter Bedarf (Prozent),Anzahl Autos,Strombedarf (kWh)
00:00:00,0.378260869565217,0.01106538402960569,30983.075282895934,198291.68181053398
00:15:00,0.337108223104694,0.009861532736598053,27612.29166247455,176718.66663983712
00:30:00,0.294634445402106,0.008619033976397301,24133.295133912445,154453.08885703966
00:45:00,0.252814110433403,0.007395650581738075,20707.82162886661,132530.05842474633
01:00:00,0.212954103666359,0.006229613283703529,17442.917194369882,111634.67004396726
01:15:00,0.190737050714236,0.005579690855290828,15623.134394814319,99988.06012681164
01:30:00,0.171133768697656,0.005006229889044301,14017.443689324042,89711.63961167388
01:45:00,0.151530486681077,0.004432768922797803,12411.752983833847,79435.21909653663
02:00:00,0.130620319196726,0.003821077225468204,10699.01623131097,68473.70388039021
02:15:00,0.115591136317349,0.003381423818012563,9467.986690435177,60595.114818785136
02:30:00,0.100561953437971,0.002941770410556892,8236.957149559297,52716.52575717951
02:45:00,0.0861862132924804,0.0025212323686428133,7059.450632199877,45180.48404607922
03:00:00,0.0711570304131028,0.0020815789611871543,5828.421091324032,37301.89498447381
03:15:00,0.0678898167436727,0.001986002133479397,5560.805973742312,35589.158231950794
03:30:00,0.0659294885420151,0.001928656036854756,5400.236903193317,34561.516180437226
03:45:00,0.0633157176064713,0.0018521945746885584,5186.1448091279635,33191.32677841897
04:00:00,0.0607019466709273,0.001775733112522355,4972.052715062594,31821.137376400602
04:15:00,0.0609180691544324,0.0017820554114166734,4989.755151966685,31934.432972586786
04:30:00,0.0615715118883184,0.001801170776958224,5043.278175483028,32276.98032309138
04:45:00,0.0615715118883184,0.001801170776958224,5043.278175483028,32276.98032309138
05:00:00,0.0620037568553291,0.0018138153747468753,5078.683049291251,32503.57151546401
05:15:00,0.058741618469269,0.0017183870158976934,4811.483644513542,30793.495324886666
05:30:00,0.0574347330014972,0.0016801562848145974,4704.437597480873,30108.400623877587
05:45:00,0.0543478260869563,0.0015898540272421921,4451.591276278138,28490.184168180087
06:00:00,0.0521739130434781,0.001526259866152506,4273.527625227017,27350.57680145291
06:15:00,0.0521739130434781,0.001526259866152506,4273.527625227017,27350.57680145291
06:30:00,0.0521739130434781,0.001526259866152506,4273.527625227017,27350.57680145291
06:45:00,0.0521739130434781,0.001526259866152506,4273.527625227017,27350.57680145291
07:00:00,0.0521739130434781,0.001526259866152506,4273.527625227017,27350.57680145291
07:15:00,0.0624410771057097,0.0018266084413940992,5114.5036359034775,32732.823269782257
07:30:00,0.0724588405975046,0.002119661223411675,5935.0514255526905,37984.32912353722
07:45:00,0.0818231613554136,0.002393598639887703,6702.076191685568,42893.28762678764
08:00:00,0.0935851305653612,0.002737675219635607,7665.4906149797,49059.13993587008
08:15:00,0.10665398524308,0.00311998253046659,8735.951085306451,55910.08694596129
08:30:00,0.121904365889333,0.0035661067056751514,9985.098775890425,63904.63216569872
08:45:00,0.135410540817433,0.003961207083153375,11091.37983282945,70984.83093010848
09:00:00,0.153917984566376,0.0045026111483525404,12607.311215387113,80686.79177847753
09:15:00,0.194426358783936,0.005687615343070061,15925.322960596171,101922.0669478155
09:30:00,0.232763357599703,0.006809099611127191,19065.478911156137,122019.06503139928
09:45:00,0.272623364366748,0.007975136909161766,22330.383345652943,142914.45341217885
10:00:00,0.312699493617298,0.009147496506090655,25612.990217053833,163923.13738914454
10:15:00,0.331870530666866,0.009708312874548495,27183.276048735785,173972.96671190904
10:30:00,0.35125769019994,0.010275451541900677,28771.264317321897,184136.09163086014
10:45:00,0.372383980167797,0.01089346553812462,30501.703506748934,195210.9024431932
11:00:00,0.394163712869539,0.011530594899890086,32285.665719692242,206628.26060603035
11:15:00,0.427494367581094,0.012505627011367726,35015.755631829634,224100.83604370966
11:30:00,0.469304551983057,0.013728713468309804,38440.397711267455,246018.54535211172
11:45:00,0.506771985581432,0.014824760071931037,41509.328201406905,265659.7004890042
12:00:00,0.541188327993884,0.01583155214673889,44328.346010868896,283701.41446956096
12:15:00,0.562103570761605,0.016443392312927064,46041.49847619578,294665.590247653
12:30:00,0.58192297526169,0.017023175578067908,47664.89161859014,305055.30635897693
12:45:00,0.601526257278269,0.017596636544314405,49270.58232408034,315331.7268741142
13:00:00,0.618520843642674,0.018093784517253273,50662.59664830916,324240.61854917865
13:15:00,0.616781713207892,0.018042909188381542,50520.14572746832,323328.9326557973
13:30:00,0.614167942272348,0.017966447726215338,50306.053633402946,321958.7432537789
13:45:00,0.610900728602918,0.017870870898507585,50038.43851582124,320246.00650125596
14:00:00,0.608286957667374,0.017794409436341377,49824.34642175586,318875.8170992375
14:15:00,0.601752530328515,0.0176032557809259,49289.11618659252,315450.3435941921
14:30:00,0.593911217521883,0.017373871394427292,48646.83990439642,311339.7753881371
14:45:00,0.586507224965632,0.017157280074575915,48040.38420881256,307458.4589364004
15:00:00,0.579535477376391,0.01695333335251317,47469.33338703687,303803.733677036
15:15:00,0.580434782608695,0.01697964101094666,47542.99483065065,304275.16691616416
15:30:00,0.578228591908619,0.01691510262143007,47362.28734000419,303118.63897602685
15:45:00,0.578228591908619,0.01691510262143007,47362.28734000419,303118.63897602685
16:00:00,0.579535477376391,0.01695333335251317,47469.33338703687,303803.733677036
16:15:00,0.583456133779707,0.017068025545762474,47790.47152813493,305859.01778006356
16:30:00,0.588683675650795,0.017220948470094883,48218.655716265675,308599.3965841003
16:45:00,0.593257774787997,0.01735475602888574,48593.31688088007,310997.2280376325
17:00:00,0.601094012311258,0.017583991946525747,49235.177450272095,315105.1356817414
