year,predicted_capacity
2021,58684.499999046326
2022,69744.50000035763
2023,80543.50000083447
2024,91081.49999988079
2025,101358.49999773502
2026,111374.49999463558
2027,121129.49999022484
2028,130623.49998486042
2029,139856.4999781847
2030,148828.4999705553
