year,predicted_capacity
2016,4334.618182837963
2017,5401.554545879364
2018,6314.737662434578
2019,7074.167532205582
2020,7679.844155430794
2021,8131.7675319314
2022,8429.937661886215
2023,8574.35454517603
2024,8574.35454517603
2025,8574.35454517603
2026,8574.35454517603
2027,8574.35454517603
2028,8574.35454517603
2029,8574.35454517603
2030,8574.35454517603
