year,predicted_capacity
2021,55890.89999961853
2022,58479.300000309944
2023,60547.70000040531
2024,62096.09999978542
2025,63124.49999845028
2026,63632.89999639988
2027,63621.299993634224
2028,63089.69999015331
2029,62038.099985957146
2030,60466.49998140335
2031,58374.89997589588
