year,predicted_capacity
2019,7565.8928571641445
2020,7682.678571403027
2021,7869.857142806053
2022,8127.428571403027
2023,8455.392857164145
2024,8853.75000011921
2025,9322.50000026822
2026,9861.642857581377
2027,10471.178572058678
2028,11151.107143819332
2029,11901.428572654724
2030,12722.142858713865
