year,predicted_capacity
2021,7788.600000053644
2022,8124.200000010431
2023,8477.799999982119
2024,8849.399999961257
2025,9238.999999962747
2026,9646.599999956787
2027,10072.199999980628
2028,10515.800000019372
2029,10977.400000073016
2030,11457.000000141561
