year,predicted_capacity
2019,48761.89285373688
2020,53595.82142543793
2021,60319.28571176529
2022,68932.28571367264
2023,79434.8214302063
2024,91826.89286279678
2025,106108.5000090599
2026,122279.64287042618
2027,140340.3214468956
2028,160290.53573846817
2029,182130.2857451439
2030,205859.57146644592
