Datum,Gesamterzeugung_EE,Speicher Ladeleistung,Speicher Entladeleistung,Speicher + Erneuerbare in MWh,Leistung Flexkraftwerk,EE + Speicher + Flexible in MWh
2030-09-21 10:45:00,21729.249717808947,132.1993475557283,0.0,21597.05037025322,0.0,21597.05037025322
2030-09-21 11:00:00,21546.9337734582,0.0,66.01867790112374,21612.952451359324,0.0,21612.952451359324
2030-09-21 11:15:00,21326.496089113378,0.0,66.18066965460457,21392.676758767982,47.0,21439.676758767982
2030-09-21 11:30:00,21367.47579159374,0.0,0.0,21367.47579159374,47.0,21414.47579159374
2030-09-21 11:45:00,21440.11649737624,0.0,0.0,21440.11649737624,47.0,21487.11649737624
2030-09-21 12:00:00,20928.266119925265,0.0,0.0,20928.266119925265,47.0,20975.266119925265
2030-09-21 12:15:00,20343.07110217074,0.0,0.0,20343.07110217074,47.0,20390.07110217074
2030-09-21 12:30:00,19646.883880832822,0.0,0.0,19646.883880832822,47.0,19693.883880832822
2030-09-21 12:45:00,18923.624380730973,0.0,0.0,18923.624380730973,47.0,18970.624380730973
2030-09-21 13:00:00,18282.671561791805,0.0,0.0,18282.671561791805,47.0,18329.671561791805
2030-09-21 13:15:00,17708.72006325201,0.0,0.0,17708.72006325201,47.0,17755.72006325201
2030-09-21 13:30:00,17268.307483350436,0.0,0.0,17268.307483350436,47.0,17315.307483350436
2030-09-21 13:45:00,16224.745966729686,0.0,0.0,16224.745966729686,47.0,16271.745966729686
2030-09-21 14:00:00,15283.681919274342,0.0,0.0,15283.681919274342,47.0,15330.681919274342
2030-09-21 14:15:00,14341.833448349647,0.0,0.0,14341.833448349647,47.0,14388.833448349647
2030-09-21 14:30:00,13588.256931118802,0.0,0.0,13588.256931118802,47.0,13635.256931118802
2030-09-21 14:45:00,12881.746073642327,0.0,0.0,12881.746073642327,47.0,12928.746073642327
2030-09-21 15:00:00,12028.133665973037,0.0,0.0,12028.133665973037,47.0,12075.133665973037
2030-09-21 15:15:00,11269.48448250314,0.0,0.0,11269.48448250314,47.0,11316.48448250314
2030-09-21 15:30:00,10405.568895398137,0.0,0.0,10405.568895398137,47.0,10452.568895398137
2030-09-21 15:45:00,9552.726759437439,0.0,0.0,9552.726759437439,47.0,9599.726759437439
2030-09-21 16:00:00,8779.797720030718,0.0,0.0,8779.797720030718,47.0,8826.797720030718
2030-09-21 16:15:00,8264.28246624007,0.0,0.0,8264.28246624007,47.0,8311.28246624007
2030-09-21 16:30:00,7886.4268587031875,0.0,0.0,7886.4268587031875,47.0,7933.4268587031875
2030-09-21 16:45:00,7512.894816506798,0.0,0.0,7512.894816506798,47.0,7559.894816506798
2030-09-21 17:00:00,7359.445303297405,0.0,0.0,7359.445303297405,47.0,7406.445303297405
2030-09-21 17:15:00,7194.584103748883,0.0,0.0,7194.584103748883,47.0,7241.584103748883
2030-09-21 17:30:00,7076.032480050005,0.0,0.0,7076.032480050005,47.0,7123.032480050005
2030-09-21 17:45:00,7013.624009735227,0.0,0.0,7013.624009735227,47.0,7060.624009735227
2030-09-21 18:00:00,7039.781213220627,0.0,0.0,7039.781213220627,47.0,7086.781213220627
2030-09-21 18:15:00,7056.864411767596,0.0,0.0,7056.864411767596,47.0,7103.864411767596
2030-09-21 18:30:00,7090.721807927246,0.0,0.0,7090.721807927246,47.0,7137.721807927246
2030-09-21 18:45:00,7335.412527397461,0.0,0.0,7335.412527397461,47.0,7382.412527397461
2030-09-21 19:00:00,7681.804272529297,0.0,0.0,7681.804272529297,47.0,7728.804272529297
2030-09-21 19:15:00,7802.081935722656,0.0,0.0,7802.081935722656,47.0,7849.081935722656
2030-09-21 19:30:00,7826.334660691036,0.0,0.0,7826.334660691036,47.0,7873.334660691036
2030-09-21 19:45:00,7948.68165327006,0.0,0.0,7948.68165327006,47.0,7995.68165327006
2030-09-21 20:00:00,8276.731108556502,0.0,0.0,8276.731108556502,47.0,8323.731108556502
2030-09-21 20:15:00,8647.490294597575,0.0,0.0,8647.490294597575,47.0,8694.490294597575
2030-09-21 20:30:00,8974.031024334701,0.0,0.0,8974.031024334701,47.0,9021.031024334701
2030-09-21 20:45:00,9291.4614521748,0.0,0.0,9291.4614521748,47.0,9338.4614521748
2030-09-21 21:00:00,9350.858865061713,0.0,0.0,9350.858865061713,47.0,9397.858865061713
2030-09-21 21:15:00,9527.11634671274,0.0,0.0,9527.11634671274,47.0,9574.11634671274
2030-09-21 21:30:00,9343.77588608785,0.0,0.0,9343.77588608785,47.0,9390.77588608785
2030-09-21 21:45:00,8999.610338232049,0.0,0.0,8999.610338232049,47.0,9046.610338232049
2030-09-21 22:00:00,8795.57728029875,0.0,0.0,8795.57728029875,47.0,8842.57728029875
2030-09-21 22:15:00,8750.421017000308,0.0,0.0,8750.421017000308,47.0,8797.421017000308
2030-09-21 22:30:00,8707.024697206658,0.0,0.0,8707.024697206658,47.0,8754.024697206658
2030-09-21 22:45:00,8787.507448049062,0.0,0.0,8787.507448049062,47.0,8834.507448049062
2030-09-21 23:00:00,8855.8960093337,0.0,0.0,8855.8960093337,47.0,8902.8960093337
2030-09-21 23:15:00,9199.492394884626,0.0,0.0,9199.492394884626,47.0,9246.492394884626
2030-09-21 23:30:00,9345.954100447218,0.0,0.0,9345.954100447218,47.0,9392.954100447218
2030-09-21 23:45:00,9265.815502304595,0.0,0.0,9265.815502304595,47.0,9312.815502304595
2030-09-22 00:00:00,9410.781687852104,0.0,0.0,9410.781687852104,47.0,9457.781687852104
2030-09-22 00:15:00,9388.014878061635,0.0,0.0,9388.014878061635,47.0,9435.014878061635
2030-09-22 00:30:00,9346.807921542855,0.0,0.0,9346.807921542855,47.0,9393.807921542855
2030-09-22 00:45:00,9368.878771757718,0.0,0.0,9368.878771757718,47.0,9415.878771757718
2030-09-22 01:00:00,9303.341910807172,0.0,0.0,9303.341910807172,47.0,9350.341910807172
2030-09-22 01:15:00,9160.987303139249,0.0,0.0,9160.987303139249,47.0,9207.987303139249
2030-09-22 01:30:00,9060.851669316438,0.0,0.0,9060.851669316438,47.0,9107.851669316438
2030-09-22 01:45:00,8938.050957487721,0.0,0.0,8938.050957487721,47.0,8985.050957487721
2030-09-22 02:00:00,8690.370163792806,0.0,0.0,8690.370163792806,47.0,8737.370163792806
2030-09-22 02:15:00,8319.336257260013,0.0,0.0,8319.336257260013,47.0,8366.336257260013
2030-09-22 02:30:00,8234.955815431502,0.0,0.0,8234.955815431502,47.0,8281.955815431502
2030-09-22 02:45:00,8146.602812099496,0.0,0.0,8146.602812099496,47.0,8193.602812099496
2030-09-22 03:00:00,7923.708206101903,0.0,0.0,7923.708206101903,47.0,7970.708206101903
2030-09-22 03:15:00,7726.119427707486,0.0,0.0,7726.119427707486,47.0,7773.119427707486
2030-09-22 03:30:00,7599.342512308782,0.0,0.0,7599.342512308782,47.0,7646.342512308782
2030-09-22 03:45:00,7512.892531444642,0.0,0.0,7512.892531444642,47.0,7559.892531444642
2030-09-22 04:00:00,7288.113102603412,0.0,0.0,7288.113102603412,47.0,7335.113102603412
2030-09-22 04:15:00,7211.353383794963,0.0,0.0,7211.353383794963,47.0,7258.353383794963
2030-09-22 04:30:00,7283.319004639427,0.0,0.0,7283.319004639427,47.0,7330.319004639427
2030-09-22 04:45:00,7259.686084175712,0.0,0.0,7259.686084175712,47.0,7306.686084175712
2030-09-22 05:00:00,7118.014338549421,0.0,0.0,7118.014338549421,47.0,7165.014338549421
2030-09-22 05:15:00,7043.702775732649,0.0,0.0,7043.702775732649,47.0,7090.702775732649
2030-09-22 05:30:00,6988.954123099052,0.0,0.0,6988.954123099052,47.0,7035.954123099052
2030-09-22 05:45:00,6998.364979490272,0.0,0.0,6998.364979490272,47.0,7045.364979490272
2030-09-22 06:00:00,7096.248032936565,0.0,0.0,7096.248032936565,47.0,7143.248032936565
2030-09-22 06:15:00,7670.5941308604215,0.0,0.0,7670.5941308604215,47.0,7717.5941308604215
2030-09-22 06:30:00,8442.28549920599,0.0,0.0,8442.28549920599,47.0,8489.28549920599
2030-09-22 06:45:00,9158.641517426207,0.0,0.0,9158.641517426207,47.0,9205.641517426207
2030-09-22 07:00:00,10065.335743300051,0.0,0.0,10065.335743300051,47.0,10112.335743300051
2030-09-22 07:15:00,11108.220038035048,0.0,0.0,11108.220038035048,47.0,11155.220038035048
2030-09-22 07:30:00,12394.814594589498,0.0,0.0,12394.814594589498,47.0,12441.814594589498
2030-09-22 07:45:00,13646.665224106971,0.0,0.0,13646.665224106971,47.0,13693.665224106971
2030-09-22 08:00:00,14905.11675777846,0.0,0.0,14905.11675777846,47.0,14952.11675777846
2030-09-22 08:15:00,16004.230731234476,0.0,0.0,16004.230731234476,47.0,16051.230731234476
2030-09-22 08:30:00,17083.302340811526,0.0,0.0,17083.302340811526,47.0,17130.302340811526
2030-09-22 08:45:00,18248.826854058516,0.0,0.0,18248.826854058516,47.0,18295.826854058516
2030-09-22 09:00:00,19541.032034395404,0.0,0.0,19541.032034395404,47.0,19588.032034395404
2030-09-22 09:15:00,20681.586431600248,0.0,0.0,20681.586431600248,47.0,20728.586431600248
2030-09-22 09:30:00,21709.552913795796,250.0,0.0,21459.552913795796,0.0,21459.552913795796
2030-09-22 09:45:00,22644.823230088372,150.0,0.0,22494.823230088372,0.0,22494.823230088372
2030-09-22 10:00:00,23552.730987769984,0.0,0.0,23552.730987769984,0.0,23552.730987769984
2030-09-22 10:15:00,24077.594959664268,0.0,0.0,24077.594959664268,0.0,24077.594959664268
2030-09-22 10:30:00,24388.024865736632,0.0,0.0,24388.024865736632,0.0,24388.024865736632
2030-09-22 10:45:00,24861.182178680392,0.0,0.0,24861.182178680392,0.0,24861.182178680392
2030-09-22 11:00:00,25250.731561961136,0.0,0.0,25250.731561961136,0.0,25250.731561961136
2030-09-22 11:15:00,25168.802962358557,0.0,0.0,25168.802962358557,0.0,25168.802962358557
2030-09-22 11:30:00,25143.09660420018,0.0,0.0,25143.09660420018,0.0,25143.09660420018
2030-09-22 11:45:00,24764.292206642054,0.0,0.0,24764.292206642054,0.0,24764.292206642054
2030-09-22 12:00:00,24696.91334250473,0.0,0.0,24696.91334250473,0.0,24696.91334250473
2030-09-22 12:15:00,24872.515176432637,0.0,0.0,24872.515176432637,0.0,24872.515176432637
2030-09-22 12:30:00,24663.83726927379,0.0,0.0,24663.83726927379,0.0,24663.83726927379
2030-09-22 12:45:00,24464.531011740517,0.0,0.0,24464.531011740517,0.0,24464.531011740517
2030-09-22 13:00:00,24264.818012664167,0.0,0.0,24264.818012664167,0.0,24264.818012664167
2030-09-22 13:15:00,23617.20870030146,0.0,0.0,23617.20870030146,0.0,23617.20870030146
2030-09-22 13:30:00,22770.76020175907,0.0,0.0,22770.76020175907,0.0,22770.76020175907
2030-09-22 13:45:00,22042.702610837972,0.0,0.0,22042.702610837972,0.0,22042.702610837972
2030-09-22 14:00:00,21144.95886530963,0.0,0.0,21144.95886530963,0.0,21144.95886530963
2030-09-22 14:15:00,20037.421414838827,0.0,0.0,20037.421414838827,0.0,20037.421414838827
2030-09-22 14:30:00,18773.630072010797,0.0,250.0,19023.630072010797,47.0,19070.630072010797
2030-09-22 14:45:00,17422.56897272722,0.0,150.0,17572.56897272722,47.0,17619.56897272722
2030-09-22 15:00:00,16093.058862641245,0.0,0.0,16093.058862641245,47.0,16140.058862641245
2030-09-22 15:15:00,14906.325129259656,0.0,0.0,14906.325129259656,47.0,14953.325129259656
2030-09-22 15:30:00,13612.29537721267,0.0,0.0,13612.29537721267,47.0,13659.29537721267
2030-09-22 15:45:00,12358.348993392212,0.0,0.0,12358.348993392212,47.0,12405.348993392212
2030-09-22 16:00:00,11272.161182393653,0.0,0.0,11272.161182393653,47.0,11319.161182393653
2030-09-22 16:15:00,10029.27195035101,0.0,0.0,10029.27195035101,47.0,10076.27195035101
2030-09-22 16:30:00,8940.977003996684,0.0,0.0,8940.977003996684,47.0,8987.977003996684
2030-09-22 16:45:00,7933.912067395373,0.0,0.0,7933.912067395373,47.0,7980.912067395373
2030-09-22 17:00:00,6961.493891035261,0.0,0.0,6961.493891035261,47.0,7008.493891035261
2030-09-22 17:15:00,6305.3602025253085,0.0,0.0,6305.3602025253085,47.0,6352.3602025253085
2030-09-22 17:30:00,5806.2197484945655,0.0,0.0,5806.2197484945655,47.0,5853.2197484945655
2030-09-22 17:45:00,5610.131122091797,0.0,0.0,5610.131122091797,47.0,5657.131122091797
2030-09-22 18:00:00,5636.3626301792,0.0,0.0,5636.3626301792,47.0,5683.3626301792
