Datum,Gesamterzeugung_EE,Speicher Ladeleistung,Speicher Entladeleistung,Speicher + Erneuerbare in MWh
2030-01-01 07:00:00,17749.49590811424,0.0,0.0,17749.49590811424
2030-01-01 07:15:00,17782.33624972021,0.0,0.0,17782.33624972021
2030-01-01 07:30:00,17858.821458737053,0.0,0.0,17858.821458737053
2030-01-01 07:45:00,17767.630861804573,0.0,0.0,17767.630861804573
2030-01-01 08:00:00,17761.372978075022,0.0,0.0,17761.372978075022
2030-01-01 08:15:00,17728.643447190305,0.0,0.0,17728.643447190305
2030-01-01 08:30:00,17803.181254962245,0.0,0.0,17803.181254962245
2030-01-01 08:45:00,17958.455654913476,0.0,0.0,17958.455654913476
2030-01-01 09:00:00,18159.999257028787,0.0,0.0,18159.999257028787
2030-01-01 09:15:00,18583.256027283853,0.0,0.0,18583.256027283853
2030-01-01 09:30:00,18994.073435725306,0.0,0.0,18994.073435725306
2030-01-01 09:45:00,19625.205252230764,0.0,0.0,19625.205252230764
2030-01-01 10:00:00,20538.580722420586,0.0,0.0,20538.580722420586
2030-01-01 10:15:00,21211.07183319315,0.0,0.0,21211.07183319315
2030-01-01 10:30:00,21880.430262601287,0.0,0.0,21880.430262601287
2030-01-01 10:45:00,22303.863958180184,0.0,0.0,22303.863958180184
2030-01-01 11:00:00,22649.43736841937,0.0,0.0,22649.43736841937
2030-01-01 11:15:00,23235.520098222554,0.0,0.0,23235.520098222554
2030-01-01 11:30:00,23829.213680102977,0.0,0.0,23829.213680102977
2030-01-01 11:45:00,24091.516554381044,0.0,0.0,24091.516554381044
2030-01-01 12:00:00,24277.076499174836,0.0,0.0,24277.076499174836
2030-01-01 12:15:00,24086.30818059231,0.0,0.0,24086.30818059231
2030-01-01 12:30:00,23767.13030791709,0.0,0.0,23767.13030791709
2030-01-01 12:45:00,23790.454470760385,0.0,0.0,23790.454470760385
2030-01-01 13:00:00,23704.927663539176,0.0,0.0,23704.927663539176
2030-01-01 13:15:00,23296.02831316378,0.0,0.0,23296.02831316378
2030-01-01 13:30:00,22575.00726519362,0.0,0.0,22575.00726519362
2030-01-01 13:45:00,22033.192901808885,0.0,0.0,22033.192901808885
2030-01-01 14:00:00,21808.171830098392,0.0,0.0,21808.171830098392
2030-01-01 14:15:00,21074.35493321855,0.0,0.0,21074.35493321855
