Datum,Differenz in MWh,positive Werte,negative Werte
2030-01-01 00:00:00,2824.8396021067674,2824.8396021067674,0.0
2030-01-01 00:15:00,2954.2886122882737,2954.2886122882737,0.0
2030-01-01 00:30:00,3335.620382120109,3335.620382120109,0.0
2030-01-01 00:45:00,3167.424798396931,3167.424798396931,0.0
2030-01-01 01:00:00,4029.019824135059,4029.019824135059,0.0
2030-01-01 01:15:00,4445.895149779202,4445.895149779202,0.0
2030-01-01 01:30:00,4283.012780145691,4283.012780145691,0.0
2030-01-01 01:45:00,4845.891812935648,4845.891812935648,0.0
2030-01-01 02:00:00,4879.596477168623,4879.596477168623,0.0
2030-01-01 02:15:00,5508.714033065957,5508.714033065957,0.0
2030-01-01 02:30:00,5310.146182964463,5310.146182964463,0.0
2030-01-01 02:45:00,5713.138314450225,5713.138314450225,0.0
2030-01-01 03:00:00,5105.704574686426,5105.704574686426,0.0
2030-01-01 03:15:00,5205.9235544438525,5205.9235544438525,0.0
2030-01-01 03:30:00,5088.505636438971,5088.505636438971,0.0
2030-01-01 03:45:00,5137.006576950589,5137.006576950589,0.0
2030-01-01 04:00:00,5486.739091987503,5486.739091987503,0.0
2030-01-01 04:15:00,5411.765910541724,5411.765910541724,0.0
2030-01-01 04:30:00,5215.785110005532,5215.785110005532,0.0
2030-01-01 04:45:00,5215.180382576436,5215.180382576436,0.0
2030-01-01 05:00:00,5653.191662335417,5653.191662335417,0.0
2030-01-01 05:15:00,5380.125317930986,5380.125317930986,0.0
2030-01-01 05:30:00,5050.672038443499,5050.672038443499,0.0
2030-01-01 05:45:00,4995.995296641195,4995.995296641195,0.0
2030-01-01 06:00:00,5107.117802300403,5107.117802300403,0.0
2030-01-01 06:15:00,4919.610135781044,4919.610135781044,0.0
2030-01-01 06:30:00,5065.9930453067755,5065.9930453067755,0.0
2030-01-01 06:45:00,5057.11233313941,5057.11233313941,0.0
2030-01-01 07:00:00,5357.372190128084,5357.372190128084,0.0
2030-01-01 07:15:00,5311.714528749362,5311.714528749362,0.0
2030-01-01 07:30:00,5313.163288337102,5313.163288337102,0.0
2030-01-01 07:45:00,5139.675167046689,5139.675167046689,0.0
2030-01-01 08:00:00,5227.477988655894,5227.477988655894,0.0
2030-01-01 08:15:00,5095.8516068466415,5095.8516068466415,0.0
2030-01-01 08:30:00,4988.152593821222,4988.152593821222,0.0
2030-01-01 08:45:00,4995.082627479667,4995.082627479667,0.0
2030-01-01 09:00:00,4989.838340055745,4989.838340055745,0.0
2030-01-01 09:15:00,5101.533453854683,5101.533453854683,0.0
2030-01-01 09:30:00,5279.9808016133975,5279.9808016133975,0.0
2030-01-01 09:45:00,5730.2640665028575,5730.2640665028575,0.0
