Uhrzeit;Relativer Bedarf
00:00;0,049784633
00:15;0,052405917
00:30;0,055682521
00:45;0,058959126
01:00;0,065512335
01:15;0,072065545
01:30;0,079929396
01:45;0,087793248
02:00;0,095657099
02:15;0,10352095
02:30;0,109418839
02:45;0,11728269
03:00;0,12449122
03:15;0,132355072
03:30;0,140874244
03:45;0,146772132
04:00;0,148738095
04:15;0,148738095
04:30;0,148738095
04:45;0,148082774
05:00;0,137597639
05:15;0,129078467
05:30;0,119248653
05:45;0,109418839
06:00;0,10352095
06:15;0,098278383
06:30;0,093035815
06:45;0,089103889
07:00;0,083861322
07:15;0,078618754
07:30;0,074031508
07:45;0,068133619
08:00;0,06878894
08:15;0,06878894
08:30;0,06878894
08:45;0,068133619
09:00;0,06878894
09:15;0,06878894
09:30;0,06878894
09:45;0,06878894
10:00;0,06878894
10:15;0,06878894
10:30;0,06878894
10:45;0,06878894
11:00;0,066167656
11:15;0,062891052
11:30;0,06158041
11:45;0,058959126
12:00;0,057648484
12:15;0,057648484
12:30;0,057648484
12:45;0,057648484
13:00;0,056993163
13:15;0,053716558
13:30;0,051095275
13:45;0,048473991
14:00;0,048473991
14:15;0,048473991
14:30;0,048473991
14:45;0,04781867
15:00;0,048473991
15:15;0,048473991
15:30;0,048473991
15:45;0,048473991
16:00;0,048473991
16:15;0,048473991
16:30;0,048473991
16:45;0,048473991
17:00;0,048473991
17:15;0,048473991
17:30;0,048473991
17:45;0,048473991
18:00;0,047163349
18:15;0,045852707
18:30;0,049765645
18:45;0,049765645
19:00;0,049765645
19:15;0,052045408
19:30;0,047485882
19:45;0,052045408
20:00;0,049765645
20:15;0,049765645
20:30;0,049765645
20:45;0,049765645
21:00;0,047485882
21:15;0,049765645
21:30;0,047485882
21:45;0,049765645
22:00;0,049765645
22:15;0,047485882
22:30;0,049765645
22:45;0,047485882
23:00;0,049765645
23:15;0,143235923
23:30;0,061164459
23:45;0,068003748
;
;
