Uhrzeit,Relative Bedarf,Normierter Bedarf (Prozent),Anzahl Autos,Strombedarf (kWh)
00:00:00,0.24882290171803,0.007182655579621629,25139.294528675702,160891.4849835245
00:15:00,0.216914009139872,0.0062615563410323444,21915.447193613207,140258.86203912453
00:30:00,0.183493602835381,0.005296824935045449,18538.887272659074,118648.87854501809
00:45:00,0.151383800699694,0.004369926133214915,15294.741466252204,97886.34538401412
01:00:00,0.119929300648408,0.003461943633462533,12116.802717118866,77547.53738956075
01:15:00,0.104202050622765,0.003007952383586342,10527.833342552196,67378.13339233406
01:30:00,0.0897854047659267,0.0025917937378665324,9071.278082532863,58056.17972821032
01:45:00,0.0753687589090876,0.0021756350921467,7614.7228225134495,48734.22606408608
02:00:00,0.0583309047146411,0.0016838112381141618,5893.339333399566,37717.37173375722
02:15:00,0.055709696377034,0.001608146029801465,5628.511104305127,36022.47106755282
02:30:00,0.0524331859550253,0.0015135645194105994,5297.475817937098,33903.84523479743
02:45:00,0.0498119776174181,0.0014378993110979001,5032.64758884265,32208.944568592964
03:00:00,0.0485013734486146,0.001400066706941553,4900.233474295435,31361.494235490787
03:15:00,0.0491566755330163,0.001418983009019725,4966.440531569037,31785.21940204184
03:30:00,0.0491566755330163,0.001418983009019725,4966.440531569037,31785.21940204184
03:45:00,0.0491566755330163,0.001418983009019725,4966.440531569037,31785.21940204184
04:00:00,0.0485013734486146,0.001400066706941553,4900.233474295435,31361.494235490787
04:15:00,0.0478460713642128,0.0013811504048633783,4834.026417021824,30937.769068939677
04:30:00,0.0478460713642128,0.0013811504048633783,4834.026417021824,30937.769068939677
04:45:00,0.0485013734486146,0.001400066706941553,4900.233474295435,31361.494235490787
05:00:00,0.047190769279811,0.0013622341027852035,4767.819359748212,30514.04390238856
05:15:00,0.047190769279811,0.0013622341027852035,4767.819359748212,30514.04390238856
05:30:00,0.047190769279811,0.0013622341027852035,4767.819359748212,30514.04390238856
05:45:00,0.047190769279811,0.0013622341027852035,4767.819359748212,30514.04390238856
06:00:00,0.0478460713642128,0.0013811504048633783,4834.026417021824,30937.769068939677
06:15:00,0.0485013734486146,0.001400066706941553,4900.233474295435,31361.494235490787
06:30:00,0.0485013734486146,0.001400066706941553,4900.233474295435,31361.494235490787
06:45:00,0.0485013734486146,0.001400066706941553,4900.233474295435,31361.494235490787
07:00:00,0.0485013734486146,0.001400066706941553,4900.233474295435,31361.494235490787
07:15:00,0.0491566755330163,0.001418983009019725,4966.440531569037,31785.21940204184
07:30:00,0.0524331859550253,0.0015135645194105994,5297.475817937098,33903.84523479743
07:45:00,0.055709696377034,0.001608146029801465,5628.511104305127,36022.47106755282
08:00:00,0.0570203005458376,0.0016459786339578148,5760.9252188523515,36869.921400655054
08:15:00,0.064883925558659,0.0018729742588959077,6555.4099061356765,41954.623399268334
08:30:00,0.0714369464026769,0.0020621372796776533,7217.4804788717865,46191.87506477944
08:45:00,0.0793005714154984,0.0022891329046157488,8011.965166155121,51276.577063392775
09:00:00,0.0878194985127214,0.002535044831632011,8872.656910712038,56785.004228557045
09:15:00,0.0969937276943464,0.002799873060726453,9799.555712542586,62717.15656027255
09:30:00,0.106823258960373,0.0030836175918990644,10792.661571646726,69073.03405853905
09:45:00,0.116652790226399,0.003367362123071659,11785.767430750806,75428.91155680516
10:00:00,0.128448227745631,0.003707855560478795,12977.494461675782,83055.96455472501
10:15:00,0.144175477771274,0.0041618468103549865,14566.463836242452,93225.3685519517
10:30:00,0.162523936134524,0.004691503268543871,16420.26143990355,105089.67321538272
10:45:00,0.178906488244569,0.005164410820498243,18075.43787174385,115682.80237916064
11:00:00,0.197254946607818,0.005694067278687098,19929.235475404843,127547.107042591
11:15:00,0.20905038412705,0.006034560716094234,21120.96250632982,135174.16004051085
11:30:00,0.22346702998389,0.006450719361814093,22577.517766349327,144496.1137046357
11:45:00,0.235917769587523,0.006810129101299381,23835.451854547835,152546.89186910616
12:00:00,0.24574730085355,0.007093873632472004,24828.557713652015,158902.7693673729
12:15:00,0.2640957592168,0.007623530090660889,26682.35531731311,170767.07403080392
12:30:00,0.281133613411246,0.008115353944693413,28403.738806426943,181783.92836113245
12:45:00,0.298826769690094,0.008626094100804116,30191.329352814406,193224.50785801222
13:00:00,0.316519925968942,0.009136834256914821,31978.919899201872,204665.087354892
13:15:00,0.332902478078987,0.009609741808869192,33634.09633104217,215258.2165186699
13:30:00,0.351906238526639,0.010158314569136257,35554.1009919769,227546.24634865217
13:45:00,0.370254696889888,0.010687971027325114,37407.8985956379,239410.55101208255
14:00:00,0.387292551084335,0.011179794881357667,39129.28208475184,250427.40534241177
14:15:00,0.416781144882415,0.012031028474875508,42108.599662064276,269495.0378372114
14:30:00,0.4482356449337,0.01293901097462786,45286.53841119751,289833.84583166405
14:45:00,0.481000749153789,0.013884826078536574,48596.89127487801,311020.1041592193
15:00:00,0.513765853373878,0.01483064118244529,51907.24413855852,332206.36248677457
15:15:00,0.566190020126021,0.016343945348699252,57203.808720447385,366104.3758108633
15:30:00,0.627133113975386,0.018103161441969443,63361.065046893054,405510.81630011555
15:45:00,0.685454999487145,0.01978671232692697,69253.49314424439,443222.3561231641
16:00:00,0.744432187083305,0.021489179513962654,75212.12829886928,481357.6211127634
16:15:00,0.792269239244635,0.02287006956566938,80045.24347984283,512289.5582709941
16:30:00,0.84207219765917,0.024307708523610614,85076.97983263715,544492.6709288778
16:45:00,0.893185760242509,0.025783180085708214,90241.13029997874,577543.2339198639
17:00:00,0.941022812403839,0.027164070137414943,95074.2454809523,608475.1710780947
