Uhrzeit;Relativer Bedarf;Normierter Bedarf;Anzahl Autos;Strombedarf (kWh)
00:00;0.485847461;0.007226518747495081;27822.097177856063;178061.42193827883
00:15;0.465164299;0.006918876390688614;26637.674104151167;170481.11426656749
00:30;0.444509239;0.006611652024395928;25454.86029392432;162911.10588111565
00:45;0.423895255;0.006305038624523569;24274.39870441574;155356.15170826073
01:00;0.403273905;0.005998315662409215;23093.515300275478;147798.49792176308
01:15;0.382366682;0.005687340611399202;21896.261353886926;140136.07266487632
01:30;0.361962191;0.005383843220590372;20727.79639927293;132657.89695534678
01:45;0.3410783;0.005073215210882313;19531.878561896905;125004.0227961402
02:00;0.321087396;0.004775869533212148;18387.09770286677;117677.42529834733
02:15;0.30198518;0.0044917422440449405;17293.207639573022;110676.52889326734
02:30;0.281211746;0.004182757177123181;16103.615131924247;103063.13684431519
02:45;0.26005366;0.0038680507776590227;14891.995493987237;95308.77116151832
03:00;0.224616449;0.0033409559789677953;12862.680519026013;82321.15532176649
03:15;0.196616318;0.0029244806696446944;11259.250578132074;72059.20370004528
03:30;0.175763529;0.002614315272596218;10065.113799495439;64416.72831677081
03:45;0.156567927;0.002328798955526375;8965.875978776543;57381.60626416988
04:00;0.155061889;0.0023063980731197055;8879.632581510867;56829.64852166955
04:15;0.134327188;0.0019979891227224016;7692.258122481247;49230.45198387998
04:30;0.134241178;0.001996709805802246;7687.332752338646;49198.92961496734
04:45;0.113709822;0.0016913254188176742;6511.602862448046;41674.2583196675
05:00;0.113575983;0.0016893346910269902;6503.938560453912;41625.20678690504
05:15;0.093034549;0.0013838004033806192;5327.631553015384;34096.84193929846
05:30;0.093794204;0.0013950995487704693;5371.133262766307;34375.252881704364
05:45;0.072360033;0.0010762866475983554;4143.703593253668;26519.70299682348
06:00;0.068962188;0.0010257469359303295;3949.1257033317684;25274.40450132332
06:15;0.051685977;0.0007687797338784478;2959.8019754320244;18942.732642764957
06:30;0.0516859;0.0007687785885767055;2959.797566020316;18942.704422530023
06:45;0.0516859;0.0007687785885767055;2959.797566020316;18942.704422530023
07:00;0.0516859;0.0007687785885767055;2959.797566020316;18942.704422530023
07:15;0.0516859;0.0007687785885767055;2959.797566020316;18942.704422530023
07:30;0.051686298;0.0007687845084480486;2959.8203575249872;18942.85028815992
07:45;0.041878947;0.0006229094930288271;2398.201548160984;15348.4899082303
08:00;0.051686264;0.0007687840027303963;2959.818410512026;18942.837827276966
08:15;0.05172266;0.0007693253586032714;2961.9026306225946;18956.176835984606
08:30;0.072343495;0.001076040660582595;4142.756543242991;26513.641876755144
08:45;0.093213416;0.0013864608798317007;5337.874387352048;34162.396079053105
09:00;0.135176958;0.002010628643001914;7740.920275557369;49541.88976356716
09:15;0.175731615;0.0026138405822091716;10063.286241505311;64405.03194563399
09:30;0.216034462;0.003213307087238259;12371.232285867298;79175.88662955072
09:45;0.279404621;0.004155877912045439;16000.12996137494;102400.83175279963
10:00;0.341372159;0.005077586083930099;19548.706423130883;125111.72110803766
10:15;0.412356651;0.006133412867842045;23613.639541191875;151127.293063628
